signature,sign_mean,sign_sd,sign_cv(%),sign_median,sign_iqr,sign_outliers(%),verify_mean,verify_sd,verify_cv(%),verify_median,verify_iqr,verify_outliers(%)
mldsa44,0.235,0.002,0.95,0.234,0.003,2.00,0.060,0.002,3.36,0.059,0.000,24.00
mldsa65,0.383,0.005,1.34,0.382,0.003,10.00,0.096,0.004,4.15,0.096,0.001,4.00
mldsa87,0.460,0.004,0.92,0.459,0.005,4.00,0.157,0.005,3.18,0.156,0.001,12.00
