x448,mlkem768,hqc192
2.57,1.49,19.63
1.48,1.79,19.71
2.49,1.25,20.1
1.65,1.43,19.67
2.83,1.45,19.88
2.04,1.51,19.7
2.29,2.18,20.12
1.66,1.66,19.91
1.64,1.34,19.99
2.0,1.82,20.16
2.04,1.39,20.01
1.89,2.0,20.21
2.64,1.3,19.87
1.52,1.35,20.15
1.73,1.52,19.88
2.0,1.74,20.3
1.81,1.49,19.78
1.73,1.59,20.26
1.64,1.65,19.76
1.76,1.37,19.66
1.93,1.4,19.89
1.73,1.47,20.03
2.43,1.65,19.89
1.52,1.42,20.13
1.79,1.82,19.67
1.73,1.22,19.68
2.03,1.99,19.76
1.99,1.46,19.85
2.11,1.22,19.71
2.14,1.66,19.71
2.23,1.65,19.76
1.61,1.41,20.58
1.8,1.49,19.87
1.92,1.66,19.8
3.22,1.27,20.18
1.59,1.91,20.06
1.87,1.78,20.01
2.0,1.63,19.88
1.7,1.84,19.67
1.76,1.68,20.39
1.69,1.39,19.63
1.73,2.32,19.64
2.12,1.71,19.91
1.75,1.68,20.3
1.67,2.4,19.65
2.18,1.49,19.68
2.21,1.81,20.24
1.69,1.55,19.86
1.67,1.33,19.8
1.65,1.71,19.71
2.41,1.33,20.04
2.06,1.92,19.73
1.58,1.48,19.94
2.42,2.14,20.83
1.61,1.38,19.68
2.23,1.64,19.82
2.05,1.57,19.96
2.17,1.41,20.49
1.91,1.27,19.89
2.85,2.32,20.2
2.35,1.41,20.4
1.96,1.36,19.71
2.84,2.26,20.02
2.0,1.52,19.79
1.76,2.17,20.25
1.86,2.31,19.78
2.46,2.37,20.11
2.11,1.45,19.91
1.68,1.32,19.76
1.58,2.36,19.72
1.86,2.25,20.21
1.96,1.55,19.7
1.95,1.48,20.75
1.49,2.16,19.85
2.5,1.42,19.83
1.86,1.32,19.66
2.85,1.39,19.69
1.65,1.28,19.7
2.48,2.3,20.91
1.81,1.46,19.93
1.79,1.44,19.76
1.92,1.76,19.84
1.58,1.36,20.17
1.9,1.67,19.66
2.04,1.91,19.83
2.72,2.31,21.16
2.11,2.12,19.77
1.96,1.33,20.7
1.75,1.69,22.29
1.81,1.38,20.01
1.96,1.46,19.89
2.33,1.71,20.34
2.75,1.73,19.62
4.19,1.32,19.73
1.47,1.42,19.77
1.67,1.47,20.21
2.03,1.66,20.65
2.29,1.98,20.28
1.77,1.62,19.74
2.21,1.76,19.96
1.68,1.31,19.83
1.57,1.26,19.53
3.2,2.06,19.58
1.63,1.75,19.82
2.05,1.54,19.76
1.62,1.43,19.82
1.69,1.26,19.72
1.91,2.13,19.83
2.84,1.28,21.01
2.37,2.32,19.61
2.06,1.58,19.74
1.89,1.87,19.81
2.56,1.74,19.78
1.66,1.74,20.2
1.94,3.87,19.76
1.71,2.36,19.96
1.6,1.32,19.84
1.73,1.59,19.69
1.61,2.34,19.99
2.33,1.84,19.77
1.68,1.31,20.45
1.86,3.03,19.72
2.03,1.97,19.79
1.77,1.68,19.87
1.95,1.39,19.83
2.0,2.4,20.25
2.66,2.44,20.0
1.67,1.6,19.71
2.15,1.57,19.83
1.87,1.27,19.9
2.21,1.33,19.72
3.93,2.74,19.9
1.84,1.57,20.87
1.76,2.14,19.83
1.74,2.43,19.74
2.16,1.68,20.53
3.16,1.74,19.8
1.75,1.47,19.73
2.44,1.49,19.87
2.06,2.16,19.93
1.89,1.3,19.93
1.58,1.69,20.46
1.93,2.1,19.84
1.65,1.45,20.07
1.69,1.56,19.96
1.69,1.3,20.14
2.05,1.38,20.11
2.53,2.16,20.29
2.51,1.41,19.79
1.73,1.59,19.97
1.71,1.45,20.21
1.51,1.49,19.78
1.95,2.32,20.6
1.98,1.62,19.79
2.73,1.58,20.07
1.68,2.35,20.0
1.74,1.24,20.4
1.46,1.35,19.9
1.55,1.44,19.68
1.94,1.16,20.27
2.04,1.82,19.84
2.26,1.71,19.57
1.56,1.51,19.91
1.62,2.35,19.72
1.97,1.21,19.64
1.7,1.73,20.89
1.52,1.74,20.52
1.68,1.92,19.72
2.18,1.86,20.36
1.5,1.15,20.51
2.99,2.22,19.6
1.99,1.45,19.59
2.13,2.26,19.73
2.67,1.22,19.96
2.3,1.43,20.08
1.88,1.74,19.72
2.42,1.47,19.92
2.08,1.78,20.33
1.89,1.28,20.1
1.94,1.25,19.84
1.47,1.33,19.65
2.02,1.25,20.02
2.22,1.74,19.78
1.74,2.21,19.94
2.2,1.3,20.02
2.42,1.31,20.11
1.93,1.48,19.66
2.48,2.06,20.1
2.27,1.36,19.93
1.63,1.44,20.24
2.55,1.38,19.67
1.6,1.38,20.03
2.67,1.44,19.57
1.62,1.22,19.81
1.86,1.51,19.99
1.92,1.52,19.75
2.95,1.88,20.06
2.08,1.27,19.8
1.74,1.54,19.8
1.75,1.56,19.71
2.92,1.48,19.74
1.53,1.73,19.52
2.49,1.39,19.72
1.73,1.4,20.12
2.04,1.99,19.7
1.71,1.39,19.79
1.76,1.63,19.82
2.24,1.8,19.64
1.58,1.38,20.54
1.84,1.35,20.0
2.12,2.2,19.67
1.64,1.72,20.34
2.62,1.4,19.83
1.9,1.19,20.3
1.76,1.72,19.96
1.69,1.47,19.57
2.3,1.68,20.07
1.81,1.89,19.8
1.58,1.42,19.58
2.67,1.72,19.77
2.21,1.27,19.73
1.63,1.73,20.09
1.73,1.88,20.03
2.04,1.38,19.89
2.32,1.48,20.58
2.19,1.23,20.65
1.63,1.39,20.02
2.15,1.24,21.32
2.23,1.56,20.1
1.94,1.84,19.9
1.92,1.43,19.73
1.56,1.72,20.02
2.19,1.51,19.81
2.37,1.5,19.82
1.64,1.8,19.86
1.95,1.75,19.93
2.01,1.63,19.99
1.87,1.43,20.36
1.65,3.2,21.43
1.7,1.58,21.1
2.05,1.28,20.15
1.65,1.79,19.83
1.58,1.48,20.04
1.89,3.15,19.98
2.07,1.48,19.76
1.77,1.47,20.11
2.15,2.56,20.15
1.73,1.81,20.25
1.49,1.65,20.15
3.01,1.28,20.21
2.09,1.52,19.57
1.58,1.33,19.89
2.35,1.8,19.9
1.67,1.54,20.04
2.63,1.51,19.93
1.69,1.3,19.78
1.62,1.98,20.16
1.63,1.84,20.18
2.71,2.33,19.89
2.51,1.53,20.32
1.72,1.18,19.63
1.66,1.38,19.81
2.58,1.63,20.31
2.23,1.33,19.74
2.67,1.69,19.8
1.75,2.15,19.92
1.67,1.25,19.65
1.78,1.64,19.86
1.64,2.23,19.74
2.04,2.02,19.96
1.82,1.59,20.33
2.15,1.66,20.2
1.85,1.74,19.68
2.22,2.42,19.91
2.37,1.35,19.73
1.85,1.42,20.35
1.67,1.78,19.65
1.76,2.11,20.03
1.83,1.55,20.37
1.47,1.45,20.09
2.29,1.59,19.92
1.59,1.82,19.62
1.66,1.47,19.64
1.47,1.81,20.02
2.0,1.59,20.24
2.21,1.48,20.08
1.73,1.62,19.84
2.91,1.63,20.0
2.39,1.36,19.8
1.56,1.28,19.61
2.36,1.44,19.62
2.23,1.6,20.02
2.03,1.54,19.75
1.82,2.06,19.98
1.79,1.83,19.95
2.0,1.88,19.9
2.4,2.93,19.75
1.91,1.83,19.74
2.6,1.91,20.01
1.92,1.38,19.66
2.16,2.08,20.53
1.65,1.41,19.98
2.4,1.58,21.63
1.55,1.51,21.21
1.84,1.4,19.88
1.48,1.55,19.87
2.08,2.06,20.12
1.56,1.34,21.15
1.73,2.06,20.14
1.72,1.51,19.95
1.88,2.26,20.25
2.08,1.7,19.87
2.43,1.38,20.46
1.92,1.48,19.75
1.68,2.62,19.97
1.8,3.06,20.3
1.6,1.82,19.9
1.88,1.52,19.77
2.23,2.79,20.01
2.0,1.21,19.65
2.46,1.77,19.74
1.62,1.76,19.9
1.49,1.42,20.06
1.77,2.14,19.82
2.47,1.24,20.25
2.28,2.51,19.77
2.07,1.9,19.68
1.48,1.84,20.19
2.21,1.65,19.96
1.79,1.31,20.43
1.7,1.96,19.98
1.7,2.06,20.87
1.47,2.05,29.05
1.91,3.07,19.98
1.93,2.07,19.93
2.33,1.76,19.88
1.73,1.86,20.64
2.08,1.71,19.88
2.25,2.28,20.64
1.94,2.29,20.34
1.52,1.82,19.77
1.98,1.82,20.39
1.73,2.82,19.8
2.11,1.38,19.93
1.47,1.37,20.33
1.78,1.28,19.62
2.0,2.21,20.24
1.84,1.46,20.0
1.5,1.53,21.03
2.15,1.35,19.98
1.73,1.64,19.72
1.8,1.48,19.98
2.05,1.4,20.18
1.77,1.64,19.88
1.93,1.49,21.05
