x25519,mlkem512,hqc128
1.16,1.61,8.01
1.29,1.39,7.18
0.97,1.01,7.96
1.33,1.05,7.5
1.06,0.98,7.16
1.1,1.01,7.34
1.24,1.04,7.16
0.94,1.07,7.47
1.24,0.9,7.28
1.11,1.06,7.22
1.5,0.91,7.4
1.13,1.01,7.18
2.17,1.19,7.41
1.25,1.09,7.72
0.88,1.16,7.19
0.94,1.02,7.3
1.45,0.99,7.36
0.93,0.95,7.44
1.1,0.99,7.5
1.12,1.04,7.32
1.1,1.23,7.52
1.02,1.01,7.22
1.79,1.29,7.27
1.37,1.08,7.44
1.83,1.1,7.31
1.02,1.24,7.52
1.28,1.15,7.21
0.93,1.24,7.32
1.08,0.9,7.35
1.46,0.98,7.46
0.84,1.0,7.19
0.94,1.5,7.35
1.06,1.0,7.58
0.96,1.27,8.17
1.1,1.14,8.0
1.92,0.98,8.34
1.28,0.97,7.54
1.3,1.43,7.52
1.04,0.95,7.61
1.66,1.13,7.55
0.99,0.91,7.29
1.08,1.08,7.26
1.01,0.93,7.42
1.24,1.01,7.19
1.25,1.41,7.46
2.03,1.01,7.42
0.95,1.11,7.42
1.18,1.02,7.31
0.9,1.28,7.4
1.18,1.0,7.29
0.91,1.02,7.4
0.94,1.03,7.72
1.36,1.01,7.47
1.42,1.36,7.68
1.49,1.17,7.22
1.07,1.11,7.24
0.95,1.34,7.61
0.85,0.93,7.52
1.05,0.94,7.22
0.97,1.8,7.59
0.89,1.3,7.97
0.93,0.97,7.24
1.68,0.99,7.51
1.16,0.95,7.39
1.02,0.97,7.22
1.17,1.0,7.38
1.18,1.58,7.37
1.41,1.67,7.34
1.28,1.18,7.43
1.22,0.96,7.26
1.02,1.48,7.54
0.98,0.92,7.64
1.52,1.37,7.29
1.11,0.96,7.18
1.08,1.04,7.33
1.3,0.86,7.33
0.89,1.05,7.53
1.29,0.88,7.33
1.04,0.92,7.43
1.59,1.17,7.25
1.17,1.35,7.54
1.09,1.22,7.26
1.55,1.09,7.25
1.29,1.15,7.25
0.95,1.0,7.88
1.21,1.01,7.2
1.26,1.09,7.69
1.31,1.18,7.43
1.05,0.94,7.48
1.09,1.37,7.35
1.01,1.29,7.63
1.37,1.02,7.39
0.98,1.08,7.33
2.8,1.06,7.32
1.49,1.5,7.4
1.23,1.19,7.23
1.05,1.24,7.44
1.24,1.29,7.29
1.1,1.06,7.31
1.12,1.28,7.22
1.1,0.91,7.52
1.44,1.01,7.33
1.3,1.46,7.36
0.84,1.1,7.23
1.19,1.23,7.34
1.38,1.29,7.34
1.32,1.37,7.43
0.97,1.02,7.46
0.91,1.04,7.27
1.54,1.01,7.39
0.92,1.15,7.22
1.42,1.09,7.36
1.21,1.05,7.2
1.18,1.03,7.34
1.14,1.12,7.21
0.96,1.36,7.24
0.89,0.98,7.56
1.04,1.35,7.53
1.12,0.98,7.26
0.9,0.92,7.45
1.15,1.27,7.25
0.97,0.92,7.62
1.32,0.98,7.41
1.41,1.31,7.19
1.19,1.2,7.96
1.3,1.14,7.29
1.25,1.09,7.49
1.13,1.3,7.33
1.32,0.93,7.49
1.58,1.27,7.43
1.17,1.07,7.38
0.99,1.19,7.23
0.97,1.04,7.39
1.22,0.9,7.2
0.92,0.98,7.47
0.88,0.98,7.74
0.98,0.93,7.57
1.0,1.25,7.24
1.09,1.23,7.32
1.41,0.98,7.51
1.21,1.49,7.39
1.12,1.26,7.48
0.99,1.12,7.45
0.87,1.0,7.28
1.06,0.94,7.39
1.45,1.29,7.35
1.65,1.17,7.5
1.22,0.93,7.37
1.17,1.15,7.35
1.12,1.48,7.18
1.02,0.97,7.37
2.01,1.22,7.23
1.08,1.19,7.63
1.17,1.11,7.82
1.04,1.02,7.63
1.07,1.09,7.34
0.99,1.17,7.31
1.23,1.23,7.24
1.42,1.13,7.22
1.24,1.29,7.37
1.04,1.56,7.18
0.98,0.95,7.48
1.13,0.98,7.4
0.99,1.25,7.72
1.17,1.08,7.17
1.01,0.99,7.81
0.97,1.46,7.25
0.88,1.19,7.39
1.07,1.11,7.97
1.05,0.95,7.35
1.0,0.98,7.38
1.1,1.25,7.4
1.1,1.57,7.32
0.95,1.02,7.43
0.98,1.21,7.67
1.2,1.31,7.42
0.94,0.98,7.23
1.11,0.9,7.34
1.17,1.14,7.25
1.01,1.09,7.35
0.89,0.96,7.17
1.15,1.15,7.59
1.01,0.92,7.47
0.96,0.9,7.96
1.19,1.76,7.34
0.96,0.99,7.29
1.13,0.96,7.51
1.58,1.36,7.25
1.27,1.28,7.78
1.29,0.91,7.28
0.93,1.02,7.23
0.85,1.21,7.24
1.08,1.06,7.29
1.23,1.25,7.51
0.99,1.07,7.28
1.63,1.08,7.33
1.12,0.95,7.26
0.9,0.99,7.39
1.03,1.0,7.28
1.15,1.0,7.29
0.9,1.19,7.18
1.26,1.3,7.24
1.24,1.22,8.03
1.05,1.46,7.28
1.24,1.02,7.25
1.33,1.23,7.24
1.21,1.27,7.51
1.32,1.22,7.29
1.19,0.91,7.28
1.29,0.91,7.44
1.06,1.4,7.24
1.03,1.11,7.48
1.45,1.02,7.3
1.09,1.43,7.51
1.02,1.61,7.71
1.26,1.54,7.24
1.57,0.88,7.83
1.27,1.14,7.82
0.86,1.27,7.36
1.03,0.95,7.59
1.04,0.97,7.93
1.16,0.95,7.5
1.07,0.92,7.2
1.11,1.3,7.31
1.03,1.0,7.39
0.88,0.91,7.49
1.24,1.64,7.47
1.56,0.99,7.3
0.95,1.08,7.25
0.96,1.06,7.55
0.88,1.4,7.28
0.95,1.2,7.38
1.26,1.06,7.6
1.07,1.11,7.62
1.01,1.95,7.17
1.12,1.41,7.8
0.89,1.06,7.81
1.23,1.18,7.59
1.15,1.03,7.49
1.5,0.93,7.54
1.08,1.09,7.62
0.87,1.48,7.29
1.12,1.17,7.39
1.01,1.19,7.52
1.07,0.92,7.38
1.45,1.57,7.36
1.22,1.16,7.42
1.02,1.0,7.19
1.17,1.08,7.72
0.91,1.33,7.87
0.96,0.99,7.56
1.28,1.49,7.47
0.88,0.92,7.38
0.91,0.9,7.44
1.25,0.93,7.48
0.87,1.19,7.21
0.98,0.98,7.34
1.03,1.02,7.46
0.91,0.97,7.23
1.07,1.05,7.39
1.23,1.31,8.06
1.01,1.46,7.45
1.06,1.14,7.48
1.38,1.31,7.4
1.01,1.21,7.3
1.11,0.95,7.54
1.17,1.46,7.34
1.02,1.53,7.49
1.28,1.07,7.28
1.12,1.41,7.59
1.03,1.05,7.37
0.85,1.18,7.63
0.84,0.87,7.34
1.29,0.97,7.5
1.18,1.0,7.46
1.21,0.93,7.31
1.09,1.11,7.38
1.11,1.29,7.46
1.07,1.1,7.32
0.94,1.02,7.41
0.9,0.89,7.3
0.98,0.97,7.42
0.98,0.99,7.34
1.29,1.03,7.51
1.1,1.23,7.2
1.08,0.9,7.62
1.14,2.53,7.19
1.82,1.3,7.58
1.09,1.05,7.73
1.65,0.97,7.39
0.87,0.96,7.35
1.09,0.99,7.42
1.18,1.09,7.42
1.3,1.16,7.34
1.04,1.11,7.3
1.0,0.89,7.31
1.29,1.04,7.22
1.18,1.04,7.36
1.07,1.02,7.23
1.15,1.02,7.21
1.19,1.09,7.42
1.11,1.3,7.61
0.91,0.92,7.36
0.88,0.99,7.27
1.41,1.5,7.33
0.9,1.22,7.29
1.17,1.18,7.33
0.97,0.95,7.41
1.24,1.16,7.2
0.99,1.2,7.59
0.9,1.33,7.34
0.94,1.64,7.24
1.17,1.05,7.5
0.94,0.92,7.71
1.04,1.5,7.3
1.6,1.43,7.34
0.89,1.04,7.56
1.07,1.4,7.45
0.98,1.06,7.32
0.9,1.13,7.29
1.03,1.06,7.34
0.87,1.08,7.57
0.95,0.95,7.47
0.92,1.49,7.22
1.19,1.18,7.3
1.19,1.13,7.29
1.06,0.99,7.23
1.23,0.96,7.4
1.0,1.46,7.5
0.95,1.65,7.43
1.31,1.61,7.24
1.2,0.95,7.68
1.5,1.27,7.57
0.93,1.12,7.71
1.03,1.09,7.27
0.88,0.88,7.26
1.38,1.13,7.25
0.85,1.29,7.34
1.22,0.91,7.33
1.12,1.46,7.92
1.47,0.95,7.41
1.01,1.27,7.36
1.19,1.19,7.43
1.31,1.2,7.4
1.34,1.35,7.39
1.26,1.28,7.31
0.85,1.24,7.32
1.1,2.07,7.3
1.35,0.99,7.47
1.07,1.33,7.32
0.94,1.32,7.41
0.9,1.12,7.34
1.54,1.37,7.51
0.95,1.4,7.67
1.56,1.22,7.31
1.14,1.01,7.47
1.02,1.26,7.24
1.91,1.33,7.34
1.14,1.83,7.45
1.24,1.54,7.48
0.99,1.46,7.3
0.91,0.97,7.87
0.96,0.92,7.49
0.92,1.61,7.39
1.31,1.02,7.39
1.26,1.07,7.26
1.03,1.14,7.4
1.17,1.2,7.25
0.93,1.13,7.23
0.99,0.95,7.66
0.91,1.07,7.3
1.12,0.91,7.25
0.94,0.89,7.73
1.06,1.32,7.67
0.95,1.27,7.55
0.86,1.38,7.32
1.0,0.9,7.38
1.0,1.41,7.92
1.52,1.22,7.6
0.99,1.08,7.56
1.32,1.26,7.21
1.13,1.01,7.51
1.07,1.2,7.51
1.17,1.14,7.53
1.07,1.02,7.2
0.97,1.33,7.19
1.18,1.08,7.36
1.05,1.41,7.46
2.0,1.44,7.55
1.17,1.14,7.47
1.45,1.25,7.51
1.54,1.05,7.45
0.99,0.94,7.8
1.11,1.11,7.32
0.97,0.96,7.34
0.9,0.89,7.38
1.07,1.12,7.71
1.09,1.35,8.01
0.97,1.03,7.41
0.89,1.2,7.57
1.5,0.9,10.51
1.23,0.89,10.78
1.27,1.32,9.43
1.19,1.2,7.54
0.89,1.62,7.27
0.99,1.02,7.56
1.01,1.36,7.42
1.06,0.89,7.33
1.11,0.95,7.64
1.51,1.06,7.49
1.25,1.04,7.29
1.26,0.91,7.17
0.84,0.97,7.3
0.91,1.0,7.5
1.91,0.9,7.67
1.18,0.95,7.35
0.97,0.92,7.25
1.54,1.22,7.31
0.82,1.35,7.34
0.83,1.22,7.28
1.0,1.22,7.38
1.25,1.16,7.55
1.09,1.07,7.44
1.15,1.4,7.84
1.01,0.97,7.25
1.18,1.05,7.31
0.89,1.46,7.35
1.53,1.3,7.35
1.19,1.5,7.29
1.28,1.18,7.66
0.96,1.14,7.36
1.05,1.1,7.49
1.1,0.98,7.28
1.01,1.25,7.37
1.39,1.17,7.65
0.96,1.04,7.14
1.12,0.92,7.31
1.31,1.5,7.24
1.05,1.02,7.64
1.18,1.51,8.23
1.11,1.14,7.48
0.86,1.1,7.39
1.27,1.03,7.31
0.87,0.93,7.58
0.9,1.49,7.26
1.05,1.0,7.4
1.02,1.05,7.38
1.23,1.36,7.33
1.61,1.19,7.6
1.28,0.95,7.3
1.25,1.15,7.62
1.05,1.08,7.24
1.19,1.13,7.33
1.0,1.48,7.2
1.05,1.05,7.37
1.3,1.05,7.44
0.94,0.89,7.4
1.3,1.23,7.45
1.15,1.22,7.3
1.69,0.9,7.43
1.3,0.94,7.33
1.25,1.5,7.44
0.99,0.93,7.98
1.14,1.0,7.52
1.48,1.45,7.36
1.12,1.11,7.33
1.08,1.49,7.37
1.14,1.27,7.19
1.2,1.06,7.26
1.16,1.0,7.91
1.42,1.2,7.27
1.18,0.96,7.6
1.2,1.21,7.96
1.29,0.95,7.54
0.88,1.13,7.84
0.99,1.25,7.29
1.0,0.99,7.3
1.01,1.9,7.2
0.9,1.4,7.62
1.04,1.66,7.39
1.2,1.28,7.34
0.97,0.88,7.28
1.07,1.18,7.65
1.01,1.0,7.36
1.05,1.15,7.35
1.04,1.06,7.29
1.17,1.58,7.3
1.11,1.38,7.22
1.02,1.22,7.24
1.04,0.99,7.47
1.45,1.08,7.23
1.0,1.1,7.31
1.01,0.98,7.3
1.78,1.48,7.34
1.05,0.93,7.16
0.93,1.51,7.37
0.84,1.06,7.29
1.45,1.28,7.54
0.87,1.27,7.31
1.39,1.44,7.38
1.33,1.07,7.34
1.23,1.53,7.66
1.46,1.64,7.32
0.98,1.07,7.22
1.46,1.59,7.37
0.99,1.55,7.28
0.92,1.16,7.84
1.3,1.53,7.67
0.88,1.07,7.34
1.05,1.02,7.25
1.28,1.17,7.53
1.13,1.19,7.33
1.04,1.05,7.47
1.07,1.0,7.18
1.12,2.2,7.24
0.95,0.94,7.35
1.71,0.88,7.32
1.12,0.88,7.17
0.89,1.18,7.66
0.99,1.1,7.64
1.1,1.28,7.81
1.17,0.91,7.61
1.23,0.96,7.56
1.12,1.61,7.35
0.91,1.07,7.28
1.11,1.28,7.51
1.01,1.08,7.27
1.17,1.23,7.34
0.84,1.01,7.39
1.03,1.15,7.28
1.45,1.28,7.34
0.97,1.42,7.43
1.43,0.88,7.38
1.17,1.16,7.3
1.14,1.01,7.23
1.2,1.09,7.68
1.2,1.1,7.57
1.57,0.91,7.34
0.95,1.17,7.29
0.92,1.14,7.28
1.04,1.41,7.42
1.59,1.04,7.65
0.99,0.94,7.2
1.82,1.03,7.25
0.94,1.67,7.36
1.14,1.0,7.61
1.13,0.93,7.74
1.28,1.22,7.45
1.35,0.91,7.42
1.9,0.98,7.23
1.43,1.36,7.67
1.03,1.01,7.85
0.89,1.19,7.55
1.19,1.1,7.34
0.87,1.29,7.34
1.42,1.17,7.3
1.03,1.52,7.27
0.98,1.16,7.27
1.08,1.48,7.38
0.98,1.39,7.2
1.16,1.18,7.9
0.92,1.37,7.29
1.19,1.53,7.59
1.41,1.03,7.25
1.25,1.26,7.35
1.25,1.36,7.44
0.86,1.35,7.47
0.93,0.95,7.29
0.99,1.0,7.43
1.28,1.11,7.19
1.15,0.88,7.43
1.52,0.92,7.32
1.53,1.24,7.27
1.85,1.09,7.28
1.68,1.18,7.28
1.56,0.95,7.44
1.59,0.94,7.36
1.05,0.92,7.22
0.85,1.24,7.67
1.05,1.19,7.69
1.09,1.1,7.61
0.85,1.08,7.39
1.01,0.9,7.18
1.22,1.02,7.41
1.2,1.02,7.52
0.99,1.13,7.39
1.3,1.29,7.49
0.95,1.18,8.12
0.87,1.49,7.52
1.12,1.15,7.24
1.06,1.4,7.22
1.19,0.96,7.53
1.1,1.18,7.21
0.95,1.04,7.41
1.31,1.52,7.5
1.49,1.35,7.45
1.1,1.75,7.35
1.18,1.2,7.49
1.07,0.99,7.51
1.12,1.11,7.41
1.21,1.39,7.22
1.26,1.04,7.97
1.33,1.14,7.34
1.09,1.23,7.49
0.91,1.21,7.31
1.3,1.03,7.51
0.85,0.99,7.79
1.76,0.91,7.48
1.3,1.14,7.25
0.99,1.13,7.78
0.84,1.49,7.37
0.84,1.02,7.25
0.94,1.01,7.91
1.3,1.14,7.53
1.07,0.98,7.98
0.89,1.09,7.35
1.1,1.02,7.5
1.13,1.34,7.5
0.97,1.06,7.26
1.38,0.93,7.32
1.01,1.28,7.31
1.06,1.1,7.41
0.97,1.03,7.37
0.96,1.3,7.38
1.17,1.29,7.53
1.01,1.38,7.14
1.1,1.25,7.41
0.94,0.93,7.33
1.48,1.72,7.36
0.99,1.11,7.59
0.87,1.41,7.19
1.12,1.22,7.27
1.5,0.94,7.45
1.04,1.56,7.37
1.21,1.14,7.2
1.05,1.06,7.78
1.31,1.09,7.87
1.34,1.13,7.43
0.86,1.15,7.25
1.05,1.26,7.43
1.05,0.94,7.19
1.18,1.11,7.16
1.37,1.15,7.44
1.05,1.47,7.19
1.05,1.39,7.28
1.32,1.02,7.52
1.28,0.97,7.26
1.61,1.04,7.63
0.87,1.36,7.2
1.23,1.19,7.23
1.43,1.21,7.5
1.37,1.2,7.29
0.96,0.96,7.25
0.93,0.97,7.58
0.91,1.26,7.66
1.0,0.96,7.25
0.95,1.01,7.34
1.31,1.23,7.46
1.21,1.15,7.33
1.03,0.98,7.33
1.06,1.16,7.32
1.13,1.02,7.25
1.41,1.66,7.29
1.46,1.17,7.35
0.98,0.91,7.33
0.94,1.01,7.23
1.12,1.1,7.25
0.98,1.78,7.26
1.19,0.95,7.26
1.27,0.95,7.36
1.87,1.07,7.88
1.44,1.19,7.21
0.93,0.95,7.45
0.96,0.93,7.41
1.28,0.99,7.22
1.57,1.0,7.29
1.19,1.25,7.3
0.98,1.09,7.53
1.25,1.01,7.8
1.14,1.4,8.07
1.01,1.13,7.44
0.84,0.99,7.42
1.03,1.02,7.31
1.33,1.44,7.62
1.02,1.33,7.41
1.55,1.07,7.27
1.39,1.03,7.52
1.39,1.39,7.27
1.18,1.77,7.32
1.11,0.93,7.65
1.14,1.05,7.79
0.93,0.99,7.23
1.05,1.02,7.81
0.9,0.96,7.36
0.94,0.97,7.27
1.32,1.16,7.36
0.94,0.94,7.31
1.11,1.01,7.27
1.1,1.36,7.31
1.16,0.91,7.25
1.09,1.08,8.06
1.0,0.96,7.27
1.01,1.26,7.26
1.22,1.38,7.27
1.06,1.1,7.21
1.1,1.13,7.65
0.87,1.82,7.18
1.12,1.09,7.39
0.9,1.14,7.22
1.02,0.98,7.41
1.31,1.12,7.26
0.97,1.09,7.43
0.94,1.08,7.22
0.9,1.01,7.32
1.14,0.94,7.47
1.11,1.11,7.25
1.1,1.01,7.24
0.92,0.98,7.37
1.05,1.12,7.18
1.1,1.12,7.33
0.85,1.41,7.31
1.09,1.06,7.4
1.84,0.98,7.68
1.08,1.6,7.33
0.93,0.88,7.37
1.4,1.15,7.34
1.05,1.28,7.21
1.12,1.09,7.54
1.08,1.14,7.25
1.6,1.54,7.45
0.92,1.34,7.29
1.2,1.01,7.52
1.75,1.7,7.64
0.99,1.87,7.51
1.3,1.07,7.72
0.99,1.29,7.49
1.06,2.01,7.63
1.78,1.11,7.38
0.87,1.02,7.3
1.06,1.84,7.55
1.35,1.06,7.36
