p521,mlkem1024,hqc256
36.41,28.17,129.00
36.92,29.41,121.70
36.75,27.65,128.10
36.18,27.09,124.32
35.92,28.41,128.71
36.17,26.38,128.68
37.25,28.30,126.18
35.17,26.48,125.62
35.85,27.83,135.21
35.25,26.48,125.61
48.86,27.56,126.69
35.97,25.90,125.66
34.02,28.64,128.91
35.60,27.00,129.65
36.06,27.71,131.67
35.55,32.77,132.04
35.93,26.52,129.48
38.26,29.80,126.32
36.01,28.67,129.60
35.10,27.44,124.85
35.01,26.45,127.41
35.77,29.00,174.69
36.96,27.48,124.66
33.78,26.61,141.63
37.41,28.84,126.31
37.37,28.73,126.04
37.33,30.61,123.72
36.15,25.98,128.36
38.97,27.01,129.43
36.38,28.38,124.62
35.89,26.76,131.47
34.60,27.39,122.90
34.18,28.61,129.69
34.27,28.60,134.07
34.55,25.89,127.56
34.82,29.47,124.17
38.34,32.65,126.75
33.73,26.89,127.49
47.54,33.32,133.56
34.31,30.11,123.88
35.23,28.63,128.96
37.68,26.62,125.40
34.72,27.12,126.39
38.08,26.70,129.49
35.59,28.59,125.14
34.75,27.12,120.92
38.78,30.10,124.22
35.65,31.49,126.75
34.82,29.49,130.71
