p521,mlkem1024,hqc256
34.47,15.29,65.34
35.07,16.41,65.66
30.28,15.74,66.27
19.05,28.33,65.97
38.50,14.96,71.13
17.56,16.46,67.19
18.74,15.90,65.42
21.47,14.61,66.44
18.82,17.17,65.30
19.59,14.57,66.79
18.43,17.43,70.58
17.95,15.38,66.67
18.45,17.03,67.16
18.33,14.87,73.61
17.76,14.86,65.78
18.01,15.18,66.33
18.37,15.36,66.59
18.28,14.96,66.70
18.17,15.46,65.08
20.48,16.71,66.21
18.91,15.08,64.81
18.20,14.99,66.58
18.13,15.16,66.60
21.51,16.06,67.84
18.23,14.49,65.95
18.55,14.54,69.01
19.01,15.29,63.70
18.23,14.27,68.40
18.17,13.87,64.90
18.28,14.22,66.28
18.13,15.58,65.49
17.46,14.90,64.62
17.98,13.84,65.14
18.34,14.97,66.35
18.81,13.89,66.24
19.11,16.11,73.88
19.10,16.76,65.08
19.09,16.06,70.45
18.35,14.61,64.28
18.03,15.36,70.10
17.89,18.68,67.23
17.47,14.47,67.06
18.43,15.75,64.77
18.90,16.35,68.15
18.05,14.66,66.16
18.21,14.30,68.59
18.84,15.77,66.62
19.24,14.18,65.16
18.27,16.87,65.17
