x448,mlkem768,hqc192
21.52,21.48,74.76
21.57,22.57,77.89
21.57,22.22,80.34
23.48,21.86,77.97
21.71,21.98,76.72
22.73,23.03,82.30
21.53,22.08,81.05
21.39,24.50,78.75
20.91,21.67,79.57
21.36,25.28,78.86
20.83,30.91,74.31
21.61,21.75,77.17
21.34,21.52,79.88
24.27,22.91,78.02
23.70,23.67,89.05
21.08,25.06,75.46
22.70,21.49,77.18
23.74,24.07,80.22
21.49,21.90,79.58
23.65,24.78,76.02
21.32,22.29,77.44
22.45,30.35,86.32
22.97,23.07,79.65
22.75,21.66,78.56
23.09,30.71,77.93
28.82,25.81,80.89
22.28,21.02,77.30
21.74,22.50,78.04
22.37,21.43,80.19
21.67,22.05,78.24
21.19,21.68,76.47
21.21,23.92,78.74
21.87,24.20,83.44
22.02,21.55,78.71
20.95,21.83,76.59
21.72,23.76,76.95
23.50,22.38,78.16
25.17,21.81,78.84
21.11,22.29,78.30
20.99,26.71,75.30
21.42,24.40,79.00
20.80,22.26,75.09
25.33,24.94,75.92
20.90,22.19,77.74
23.18,26.68,76.84
21.84,22.79,76.13
20.24,24.77,82.13
22.73,22.33,77.36
22.54,21.78,95.06
