p521,mlkem1024,hqc256
26.85,7.50,54.13
27.49,8.40,54.10
10.68,7.80,54.97
11.45,8.13,54.76
28.70,7.85,59.55
9.71,8.22,55.98
10.62,8.29,53.98
13.62,7.21,54.96
11.07,9.82,53.49
10.60,7.61,55.35
10.66,6.58,57.11
10.10,7.94,55.09
10.69,9.63,55.25
10.52,7.10,61.16
9.96,6.65,54.16
10.59,7.49,54.14
10.56,8.05,54.79
10.64,7.84,54.94
10.72,7.74,53.99
12.37,9.17,54.72
11.29,7.45,53.30
10.44,7.63,54.96
10.52,7.71,55.26
13.41,7.99,56.54
10.38,7.46,54.32
10.70,7.10,57.48
11.02,8.55,52.43
10.64,6.90,57.09
9.98,7.02,53.32
10.69,6.99,54.92
10.02,7.86,53.93
10.05,7.48,53.50
10.54,7.33,53.54
10.95,7.62,54.81
10.65,6.61,54.73
11.37,7.68,61.22
11.85,9.29,53.90
10.75,8.12,58.64
10.68,7.49,52.97
10.38,7.57,58.58
10.25,10.25,55.82
10.22,7.38,55.67
10.57,7.77,53.57
10.88,8.48,56.06
10.65,7.41,54.86
10.19,7.55,57.25
11.38,8.34,55.09
11.14,7.25,53.88
10.69,8.49,53.90
