x448,mlkem768,hqc192
24.71,12.49,48.76
14.06,12.97,48.39
13.04,13.18,44.98
12.37,12.84,35.24
12.81,25.36,47.38
12.37,11.07,52.21
13.90,33.01,48.85
11.37,13.73,45.06
11.31,12.07,48.78
11.53,11.96,45.86
15.80,13.69,46.72
11.52,11.08,46.15
12.04,12.22,44.88
13.77,11.15,48.27
12.98,12.12,47.97
13.19,11.08,46.50
14.23,13.97,45.73
14.11,11.43,43.10
13.26,12.98,47.52
13.22,12.70,45.83
13.11,11.28,45.13
11.62,12.98,45.55
11.61,13.07,48.20
13.11,13.34,44.91
13.75,13.73,48.03
13.78,12.73,43.70
12.92,13.81,46.87
12.36,13.72,46.73
12.39,14.32,52.58
12.24,13.12,48.24
12.99,13.04,47.30
13.47,14.34,44.24
13.09,12.68,46.14
14.31,13.27,44.31
12.17,13.61,48.56
13.09,10.88,48.62
13.88,14.33,47.60
11.06,13.22,35.46
13.82,12.94,44.78
11.29,11.95,46.84
11.33,10.98,91.20
13.22,11.98,46.35
11.91,13.68,46.13
11.73,38.62,45.72
12.33,12.59,46.60
11.42,12.92,48.18
22.83,12.79,47.77
12.02,12.41,47.40
23.35,11.71,46.64
