x448,mlkem768,hqc192
9.60,9.99,56.02
9.69,11.21,59.40
9.22,10.80,60.32
10.28,9.94,59.13
9.83,10.61,57.47
11.26,10.87,62.77
9.99,10.06,59.94
9.78,10.19,59.22
9.63,10.25,59.55
10.37,12.82,59.43
9.55,14.96,56.34
10.20,9.89,58.22
9.84,10.07,60.57
10.49,10.39,59.02
11.02,10.53,69.02
9.53,12.23,57.06
10.62,9.93,58.70
10.22,11.22,61.45
9.80,10.44,59.89
10.67,12.53,57.86
9.79,9.87,58.50
10.56,16.02,62.02
10.00,10.98,59.66
10.34,10.17,59.69
10.88,14.62,59.14
15.24,12.39,60.01
10.69,10.06,58.56
10.01,10.51,59.37
9.62,10.18,60.45
10.12,10.31,58.78
9.39,10.44,57.77
9.39,11.34,59.96
9.43,11.28,62.72
9.85,10.14,59.50
9.38,10.35,57.81
10.20,10.81,58.10
10.83,10.42,58.13
9.77,10.29,59.55
9.60,10.94,58.91
9.64,14.95,56.94
9.81,11.35,59.45
9.43,10.21,56.34
12.01,10.73,57.10
9.41,10.61,58.88
9.68,10.97,58.53
10.25,10.18,56.87
9.28,12.38,62.15
10.61,10.50,57.78
9.88,10.31,72.59
