x25519,mlkem512,hqc128
4.12,4.10,11.98
4.03,4.74,11.38
4.11,4.66,10.77
3.90,4.72,11.31
4.97,3.90,11.05
3.76,8.13,11.77
5.13,5.29,11.58
4.61,4.68,11.66
4.58,5.16,11.56
6.07,4.06,11.26
5.68,4.63,11.14
4.27,4.30,11.65
4.49,4.55,11.44
4.11,5.42,11.20
5.00,4.27,13.15
5.06,4.11,11.02
4.25,4.12,11.97
4.42,4.46,11.24
4.13,4.99,11.68
4.87,4.97,11.70
3.77,4.95,10.74
4.23,4.46,11.04
4.64,4.99,11.20
4.18,4.24,11.30
3.58,4.19,12.75
4.77,4.03,11.11
4.38,4.25,11.45
4.92,5.07,12.29
4.22,3.78,11.11
4.96,4.48,11.69
4.21,4.13,11.92
4.62,4.21,10.87
4.51,4.86,14.38
4.10,4.19,26.69
3.80,4.79,12.00
4.48,4.21,12.69
4.11,4.50,12.06
4.07,3.65,12.08
3.80,4.60,26.37
4.66,3.94,12.06
5.08,4.45,11.42
4.73,4.08,11.56
4.17,5.21,11.06
4.57,4.18,11.52
4.59,5.04,16.03
3.83,4.92,11.87
4.00,4.66,11.66
3.93,4.39,11.23
4.38,4.53,12.51
