x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
10.44,11.55,9.36,32.41,43.55
10.54,13.47,10.33,32.11,43.05
9.25,10.83,9.70,32.06,31.47
12.13,10.40,9.85,44.70,44.57
9.36,10.09,9.73,32.63,44.41
20.10,10.75,10.04,32.26,43.58
10.30,11.19,10.26,39.96,31.15
9.19,12.07,10.20,42.79,42.99
9.99,10.25,9.42,32.59,44.39
21.04,10.22,9.64,32.41,43.96
10.50,21.14,9.41,32.77,31.15
9.86,10.98,10.48,32.16,45.32
10.34,11.76,9.40,43.62,44.99
10.48,10.33,10.66,32.53,44.12
10.67,11.58,10.28,32.42,31.12
9.82,13.65,61.05,33.28,33.39
9.79,11.31,9.36,41.36,44.29
9.80,10.80,21.27,33.19,43.19
8.95,10.52,10.00,43.16,31.25
10.09,10.77,10.99,32.37,43.50
9.01,10.83,10.29,37.93,44.05
9.10,10.40,9.70,33.11,43.91
10.08,12.99,19.97,33.24,46.10
9.24,10.38,9.50,42.45,43.80
9.13,9.88,9.32,33.14,43.73
9.72,10.45,9.53,43.60,42.90
24.01,12.78,10.31,43.55,46.75
10.15,21.68,9.28,31.83,44.44
10.32,10.33,9.18,41.46,43.73
9.48,10.21,11.32,44.90,43.26
10.17,11.17,9.35,44.37,44.88
10.19,11.25,10.45,32.22,40.09
11.78,10.52,10.43,45.99,44.48
10.47,10.46,9.79,44.32,44.37
9.66,11.30,9.43,44.30,46.31
9.49,11.50,10.22,31.28,30.72
9.47,21.09,9.45,41.73,43.33
20.03,11.92,10.48,32.22,42.37
10.65,11.70,9.37,44.53,32.33
10.02,12.20,10.13,31.48,43.01
10.37,21.46,11.32,44.69,42.66
10.91,10.29,10.61,44.82,47.89
9.99,10.32,10.48,44.12,30.69
10.25,11.11,11.15,31.71,44.13
9.25,10.14,10.15,41.02,43.86
20.18,10.69,9.25,45.39,43.89
10.88,11.76,10.37,44.61,31.19
10.26,20.53,10.07,31.67,43.61
10.13,10.08,9.78,40.71,43.54
