p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
43.78,47.09,36.06,151.85,132.98
37.13,46.22,35.82,143.09,149.29
38.44,49.08,34.32,143.78,174.77
38.77,47.95,39.60,146.90,135.96
61.24,51.96,29.42,148.17,135.05
39.11,48.96,28.56,145.95,132.18
40.20,47.15,31.34,148.56,133.02
42.85,48.02,29.80,143.32,125.82
39.22,44.83,33.62,144.72,129.48
38.11,47.24,30.02,146.21,125.72
48.61,46.34,28.71,142.61,126.01
38.26,46.88,30.11,151.72,125.17
38.54,47.45,29.53,142.26,131.33
46.12,46.76,28.26,150.45,125.89
39.81,45.73,28.68,141.27,137.24
40.58,58.79,28.47,172.47,128.83
44.67,50.41,30.69,147.93,127.41
40.57,49.00,32.67,150.68,125.78
37.30,62.71,29.46,146.14,136.51
38.59,47.57,30.37,150.70,137.03
37.89,46.08,29.39,142.76,128.01
38.43,45.17,31.10,142.04,127.31
37.97,45.03,30.47,142.63,127.91
38.94,48.03,33.44,147.75,139.02
38.20,51.02,29.19,144.21,136.63
38.21,45.90,29.68,143.44,128.44
40.31,47.93,3573.17,151.82,129.41
38.76,46.59,30.30,146.03,126.16
37.21,50.14,28.76,146.66,127.74
39.79,47.14,32.91,176.29,125.42
39.91,47.81,30.08,145.05,131.09
37.11,45.91,31.35,144.27,125.61
38.77,45.71,28.92,144.49,129.12
39.53,46.67,29.77,147.23,126.78
47.30,46.27,30.05,141.13,129.63
37.94,48.98,29.49,145.35,128.40
41.34,60.69,29.93,145.81,139.60
37.79,44.63,30.56,149.19,145.65
38.01,45.40,30.79,141.62,127.13
38.05,46.03,28.83,143.04,132.49
40.29,48.24,28.97,143.96,186.89
39.39,55.43,32.08,147.62,130.57
37.75,46.72,31.58,152.57,129.46
39.33,46.82,28.60,145.07,129.78
40.91,49.32,31.45,143.78,126.33
38.91,45.85,29.29,190.42,128.47
37.78,47.40,30.74,147.66,129.40
41.41,45.81,29.11,157.69,134.30
42.79,47.22,30.45,146.48,125.83
