p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
24.73,29.27,10.19,49.65,56.21
13.56,16.26,9.97,61.47,56.96
13.28,30.32,9.89,58.68,55.47
13.46,16.27,10.11,62.23,43.07
13.75,16.55,10.46,49.26,51.53
13.37,27.11,10.34,49.38,54.50
13.46,27.72,10.11,61.93,55.62
13.55,16.21,10.14,61.81,43.86
13.55,27.76,10.66,48.95,54.61
13.54,31.12,10.30,59.85,55.94
13.20,16.31,10.41,62.46,55.46
13.42,16.44,10.11,62.73,46.41
13.47,27.73,10.37,49.15,55.58
13.59,29.70,10.12,50.99,55.78
13.44,28.61,10.49,58.41,55.67
14.49,16.92,11.68,61.82,43.12
14.30,30.76,10.19,50.76,52.84
13.48,28.07,10.01,59.56,54.94
13.81,28.24,10.00,61.59,55.43
13.52,28.05,10.05,59.38,42.91
13.91,16.22,11.03,49.07,54.73
13.54,17.13,10.27,62.36,55.09
14.90,16.93,10.42,59.03,55.74
13.86,16.57,10.44,60.81,42.73
13.61,27.68,10.33,48.68,55.90
13.84,17.74,12.15,58.34,54.72
13.55,30.49,9.84,61.42,55.48
13.63,16.16,9.82,58.35,42.58
13.70,28.87,9.99,48.79,56.20
13.58,28.02,10.19,61.65,54.48
13.72,16.89,10.24,61.36,56.84
13.66,16.32,10.36,62.57,42.84
15.53,30.19,10.16,48.79,54.08
13.53,28.47,10.36,59.05,55.46
13.46,27.66,11.45,61.43,55.65
13.65,28.92,10.40,61.84,56.04
26.92,16.46,10.50,48.68,55.46
15.19,17.21,10.06,51.30,56.29
23.34,27.79,12.01,61.91,55.00
13.32,28.08,10.05,60.04,53.68
24.90,16.87,10.42,49.16,47.57
13.46,16.31,10.32,63.88,54.46
14.63,33.62,9.91,59.67,55.68
13.39,16.26,10.19,61.07,55.40
13.34,16.50,9.92,48.65,42.36
13.62,19.24,10.21,48.74,54.39
13.91,26.42,10.22,61.02,55.82
13.56,27.58,10.37,60.68,53.49
13.26,16.98,10.78,48.86,43.20
