p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
106.11,,111.86,,215.65
120.88,,113.53,,218.48
108.02,,109.52,,210.85
108.51,,107.12,,210.20
111.75,,109.13,,207.97
105.88,,110.96,,216.93
108.96,,112.57,,215.16
110.13,,108.74,,212.58
107.34,,108.76,,210.90
107.43,,108.93,,258.86
106.87,,108.41,,208.69
114.12,,108.97,,211.73
108.51,,107.62,,214.33
110.08,,106.78,,212.56
105.90,,111.00,,220.13
105.71,,120.57,,244.80
105.77,,108.77,,208.92
106.06,,108.90,,217.32
105.87,,109.38,,210.70
106.24,,111.45,,210.24
106.99,,109.23,,209.53
109.95,,106.71,,210.69
117.45,,107.57,,208.62
106.43,,108.79,,214.67
108.88,,110.32,,219.91
108.40,,109.84,,211.92
107.27,,109.05,,212.22
106.76,,107.33,,212.88
109.60,,107.83,,222.51
110.98,,106.76,,239.71
105.75,,108.75,,214.21
108.44,,112.77,,209.71
111.35,,114.69,,214.10
107.03,,114.46,,216.66
105.34,,110.12,,219.31
107.17,,107.30,,215.37
107.15,,108.93,,211.51
105.98,,108.17,,209.61
108.54,,112.41,,208.67
105.41,,115.90,,210.45
105.30,,107.72,,210.23
106.70,,107.91,,211.14
109.10,,106.15,,210.26
110.63,,108.14,,219.98
107.79,,110.07,,214.73
106.08,,107.79,,211.49
106.99,,110.59,,215.17
105.37,,108.00,,212.83
108.26,,109.31,,212.32
