x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
13.85,,13.08,,72.24
13.19,,13.68,,75.02
12.95,,13.11,,46.66
13.07,,12.94,,45.60
12.97,,13.09,,68.27
13.11,,13.70,,66.72
13.33,,13.26,,49.63
13.13,,13.15,,68.29
13.50,,13.19,,67.87
13.31,,13.02,,47.81
13.49,,13.15,,68.61
13.01,,12.92,,46.28
14.85,,14.35,,44.58
13.43,,13.24,,68.78
13.36,,12.93,,47.21
13.97,,12.89,,74.94
13.55,,12.81,,69.63
13.51,,12.89,,67.79
13.82,,13.40,,67.55
13.39,,12.71,,47.86
13.28,,12.99,,46.33
13.04,,13.45,,67.76
13.45,,13.23,,78.60
13.49,,13.25,,71.38
13.67,,13.30,,44.98
13.33,,12.95,,72.76
13.03,,12.70,,47.03
13.62,,12.82,,45.47
13.49,,13.46,,50.34
13.37,,13.02,,56.48
13.34,,12.90,,48.56
13.30,,12.77,,44.41
13.38,,13.09,,68.54
13.32,,12.78,,46.13
13.50,,13.05,,70.04
13.52,,13.11,,69.43
13.61,,13.12,,45.76
13.54,,13.25,,75.98
13.24,,13.11,,46.66
13.12,,13.06,,67.80
13.38,,13.41,,45.37
13.57,,13.85,,45.88
15.24,,13.03,,68.81
13.14,,13.19,,70.86
13.02,,14.17,,45.96
13.14,,13.17,,70.93
13.13,,12.78,,50.72
14.47,,13.46,,47.73
13.38,,13.19,,76.77
