signature,run,sign,verify
mldsa44,1,0.233,0.059
mldsa44,2,0.233,0.059
mldsa44,3,0.233,0.061
mldsa44,4,0.233,0.059
mldsa44,5,0.235,0.059
mldsa44,6,0.239,0.059
mldsa44,7,0.236,0.06
mldsa44,8,0.236,0.059
mldsa44,9,0.233,0.059
mldsa44,10,0.234,0.059
mldsa44,11,0.234,0.059
mldsa44,12,0.235,0.059
mldsa44,13,0.237,0.071
mldsa44,14,0.238,0.059
mldsa44,15,0.234,0.06
mldsa44,16,0.236,0.059
mldsa44,17,0.234,0.059
mldsa44,18,0.232,0.059
mldsa44,19,0.235,0.059
mldsa44,20,0.233,0.059
mldsa44,21,0.235,0.059
mldsa44,22,0.233,0.059
mldsa44,23,0.234,0.061
mldsa44,24,0.238,0.059
mldsa44,25,0.234,0.059
mldsa44,26,0.233,0.066
mldsa44,27,0.238,0.059
mldsa44,28,0.243,0.059
mldsa44,29,0.235,0.059
mldsa44,30,0.235,0.059
mldsa44,31,0.232,0.059
mldsa44,32,0.235,0.059
mldsa44,33,0.233,0.059
mldsa44,34,0.233,0.059
mldsa44,35,0.233,0.059
mldsa44,36,0.236,0.059
mldsa44,37,0.238,0.058
mldsa44,38,0.238,0.059
mldsa44,39,0.239,0.06
mldsa44,40,0.233,0.058
mldsa44,41,0.235,0.059
mldsa44,42,0.234,0.059
mldsa44,43,0.237,0.06
mldsa44,44,0.235,0.059
mldsa44,45,0.233,0.06
mldsa44,46,0.235,0.059
mldsa44,47,0.235,0.059
mldsa44,48,0.233,0.059
mldsa44,49,0.233,0.061
mldsa44,50,0.232,0.059
mldsa65,1,0.378,0.095
mldsa65,2,0.38,0.096
mldsa65,3,0.392,0.123
mldsa65,4,0.399,0.096
mldsa65,5,0.383,0.096
mldsa65,6,0.381,0.095
mldsa65,7,0.382,0.095
mldsa65,8,0.381,0.095
mldsa65,9,0.38,0.096
mldsa65,10,0.383,0.097
mldsa65,11,0.38,0.096
mldsa65,12,0.385,0.096
mldsa65,13,0.38,0.096
mldsa65,14,0.384,0.096
mldsa65,15,0.381,0.096
mldsa65,16,0.382,0.096
mldsa65,17,0.387,0.095
mldsa65,18,0.381,0.095
mldsa65,19,0.381,0.095
mldsa65,20,0.381,0.095
mldsa65,21,0.383,0.095
mldsa65,22,0.381,0.096
mldsa65,23,0.383,0.096
mldsa65,24,0.382,0.095
mldsa65,25,0.379,0.095
mldsa65,26,0.382,0.096
mldsa65,27,0.382,0.096
mldsa65,28,0.381,0.096
mldsa65,29,0.381,0.095
mldsa65,30,0.378,0.095
mldsa65,31,0.382,0.097
mldsa65,32,0.381,0.097
mldsa65,33,0.386,0.095
mldsa65,34,0.377,0.095
mldsa65,35,0.382,0.096
mldsa65,36,0.378,0.101
mldsa65,37,0.378,0.095
mldsa65,38,0.382,0.095
mldsa65,39,0.386,0.095
mldsa65,40,0.383,0.095
mldsa65,41,0.384,0.096
mldsa65,42,0.402,0.095
mldsa65,43,0.384,0.096
mldsa65,44,0.38,0.096
mldsa65,45,0.385,0.096
mldsa65,46,0.383,0.095
mldsa65,47,0.399,0.095
mldsa65,48,0.385,0.095
mldsa65,49,0.385,0.095
mldsa65,50,0.389,0.095
mldsa87,1,0.458,0.16
mldsa87,2,0.457,0.157
mldsa87,3,0.464,0.156
mldsa87,4,0.459,0.157
mldsa87,5,0.458,0.157
mldsa87,6,0.458,0.157
mldsa87,7,0.467,0.157
mldsa87,8,0.457,0.158
mldsa87,9,0.475,0.158
mldsa87,10,0.462,0.163
mldsa87,11,0.457,0.156
mldsa87,12,0.468,0.156
mldsa87,13,0.459,0.157
mldsa87,14,0.465,0.156
mldsa87,15,0.454,0.156
mldsa87,16,0.46,0.155
mldsa87,17,0.457,0.156
mldsa87,18,0.462,0.19
mldsa87,19,0.456,0.156
mldsa87,20,0.462,0.156
mldsa87,21,0.461,0.156
mldsa87,22,0.459,0.155
mldsa87,23,0.464,0.156
mldsa87,24,0.461,0.156
mldsa87,25,0.462,0.156
mldsa87,26,0.463,0.156
mldsa87,27,0.459,0.156
mldsa87,28,0.458,0.155
mldsa87,29,0.458,0.156
mldsa87,30,0.457,0.156
mldsa87,31,0.467,0.156
mldsa87,32,0.47,0.158
mldsa87,33,0.464,0.157
mldsa87,34,0.454,0.156
mldsa87,35,0.456,0.156
mldsa87,36,0.456,0.156
mldsa87,37,0.459,0.156
mldsa87,38,0.458,0.16
mldsa87,39,0.457,0.156
mldsa87,40,0.458,0.163
mldsa87,41,0.458,0.157
mldsa87,42,0.466,0.156
mldsa87,43,0.459,0.155
mldsa87,44,0.462,0.156
mldsa87,45,0.461,0.156
mldsa87,46,0.457,0.156
mldsa87,47,0.46,0.159
mldsa87,48,0.456,0.155
mldsa87,49,0.457,0.156
mldsa87,50,0.46,0.157
