sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
mldsa44,x25519,2000,1.16,0.24,1.10,0.99,1.27,0.28,0.82,2.80,0.47,0.01,0.47,0.46,0.47,0.01,0.46,0.50,40.41,22.96,55.12
mldsa44,mlkem512,2000,1.16,0.25,1.10,1.00,1.27,0.27,0.86,6.69,0.46,0.01,0.46,0.46,0.46,0.00,0.45,0.50,42.80,28.45,51.00
mldsa44,hqc128,2000,7.43,0.32,7.38,7.29,7.50,0.21,7.13,17.22,4.35,0.09,4.35,4.29,4.42,0.13,4.15,4.56,58.51,51.83,62.43
mldsa65,x448,2000,1.97,0.42,1.90,1.70,2.15,0.45,1.44,11.24,0.94,0.02,0.93,0.93,0.94,0.01,0.92,1.02,50.76,32.68,65.42
mldsa65,mlkem768,2000,1.67,0.40,1.57,1.38,1.85,0.47,1.13,6.44,0.75,0.01,0.75,0.74,0.75,0.01,0.74,0.84,47.98,21.50,62.52
mldsa65,hqc192,2000,20.13,0.75,19.93,19.77,20.20,0.43,19.47,30.63,12.17,0.23,12.17,12.03,12.34,0.32,11.64,12.55,61.22,56.10,64.43
mldsa87,P-521,2000,6.90,0.48,6.80,6.65,7.02,0.37,6.48,19.16,3.63,0.10,3.62,3.55,3.65,0.10,3.53,4.10,52.00,45.40,61.03
mldsa87,mlkem1024,2000,1.93,0.37,1.82,1.65,2.08,0.43,1.51,4.08,1.05,0.02,1.04,1.04,1.05,0.01,1.03,1.14,55.81,35.61,69.42
mldsa87,hqc256,2000,36.29,0.70,36.16,36.00,36.42,0.42,35.62,50.39,21.05,0.08,21.02,21.00,21.07,0.07,20.97,21.32,58.15,57.11,59.44
