x25519,mlkem512,hqc128
2.56,2.52,18.69
2.09,1.98,17.86
2.05,1.86,18.69
2.59,1.88,18.46
1.94,1.95,19.42
1.98,2.36,18.25
2.02,2.17,18.81
1.91,2.81,19.33
2.05,1.92,22.94
1.9,1.95,18.85
1.96,1.83,18.6
1.96,1.85,19.3
2.19,1.88,22.33
2.03,1.86,18.86
2.03,1.81,18.32
2.01,1.99,23.85
1.95,2.0,19.31
1.96,1.87,24.57
1.92,2.53,25.75
2.44,2.25,19.45
2.34,2.03,18.29
1.77,2.04,18.6
2.06,1.98,25.65
2.25,2.11,18.79
1.89,2.46,18.09
1.84,2.2,18.32
2.09,2.23,20.0
1.97,2.84,18.25
2.08,2.23,18.75
2.6,2.22,21.98
2.09,2.78,18.32
1.98,3.05,18.71
1.9,2.01,19.08
1.7,1.98,22.23
1.71,1.84,17.98
1.7,1.85,17.88
1.84,1.79,17.94
2.31,1.95,18.55
1.94,3.33,18.04
2.24,2.24,18.61
2.15,2.07,17.73
2.17,2.08,17.97
2.01,2.24,17.81
1.97,2.01,17.95
2.12,1.98,19.05
1.85,2.41,18.05
2.84,2.15,17.9
2.19,2.4,17.97
1.96,2.18,18.73
1.95,2.78,23.71
2.04,2.63,18.09
2.22,2.31,24.25
2.39,2.13,26.27
2.3,2.69,18.16
2.35,2.14,18.18
1.83,2.23,18.1
2.67,1.95,18.07
1.98,1.98,17.81
2.1,2.04,17.97
2.14,2.01,20.49
1.89,2.08,24.89
2.33,2.24,18.44
1.93,2.18,17.94
1.97,2.0,19.42
2.12,2.08,19.32
2.0,1.91,18.33
1.8,1.89,17.89
2.04,2.79,17.9
1.97,2.12,19.5
1.89,2.14,17.96
1.82,1.92,18.45
1.89,2.11,20.51
2.22,2.1,18.58
1.95,2.06,18.04
2.11,2.61,17.91
2.06,2.1,17.81
2.06,1.99,18.94
2.19,2.15,20.49
2.16,1.97,18.03
1.9,2.16,21.5
2.2,2.85,18.77
2.81,2.41,22.79
2.0,2.01,17.93
1.91,1.99,17.94
1.84,2.11,20.11
2.06,2.58,20.73
1.95,2.22,17.92
1.99,2.53,18.84
2.0,2.1,29.31
2.0,2.32,20.14
1.97,2.1,18.14
1.77,2.11,18.1
2.11,2.61,20.76
2.46,2.2,18.04
2.5,2.37,18.79
2.04,2.15,18.07
1.81,2.11,20.41
1.86,1.97,18.32
2.52,1.97,19.01
2.03,2.93,18.25
2.44,2.22,20.86
2.06,2.01,18.3
2.13,2.03,19.61
2.39,2.25,18.62
2.35,2.16,18.44
1.99,2.22,18.33
2.3,2.29,18.08
2.33,2.61,17.94
2.17,2.64,18.06
2.28,2.44,18.61
2.7,2.28,20.1
2.44,2.12,19.98
2.08,2.24,19.46
2.71,2.18,23.54
2.25,2.41,19.29
1.92,2.28,18.67
1.9,2.01,18.88
2.43,2.25,18.08
1.9,2.28,18.25
1.94,2.25,19.96
2.07,2.28,17.84
1.86,2.02,19.68
2.37,2.23,17.83
1.91,1.97,17.77
1.96,2.58,17.91
2.78,2.23,19.41
2.25,1.98,23.96
2.02,1.98,19.67
2.95,1.88,20.1
2.17,2.12,17.97
1.97,2.44,18.05
2.21,2.12,17.87
1.93,2.12,18.21
2.36,2.1,19.07
1.97,2.96,18.11
2.45,2.21,17.98
2.05,2.18,23.46
1.99,2.32,19.01
1.96,2.95,18.42
1.96,2.41,19.39
2.38,2.03,19.54
2.16,2.09,18.21
2.23,2.29,18.41
1.95,2.14,18.91
2.05,2.11,19.0
2.56,2.25,19.72
2.79,1.97,19.12
3.1,2.12,23.49
2.72,2.29,18.4
2.41,2.9,18.02
1.91,2.32,18.26
2.21,2.15,18.88
3.41,2.06,19.05
2.15,2.0,18.83
2.37,2.06,18.65
1.95,2.39,18.25
2.01,2.18,18.35
1.98,2.06,18.21
2.08,1.94,18.51
2.49,2.29,18.45
2.25,2.54,18.09
1.99,2.5,18.2
2.64,2.24,18.91
2.31,2.02,18.16
1.95,2.82,18.32
2.39,2.79,18.59
2.0,2.96,21.04
1.85,2.39,21.53
2.25,2.25,19.35
1.96,2.36,19.24
2.12,2.64,20.05
2.03,2.22,21.93
1.95,1.98,18.45
2.42,2.57,18.37
2.14,2.15,18.15
2.4,2.34,18.25
2.41,2.28,19.27
2.48,2.18,19.56
2.14,2.51,18.49
2.14,2.12,18.48
2.13,2.1,18.61
2.1,2.12,18.04
2.43,1.94,18.2
2.1,2.66,21.82
2.04,2.05,18.51
2.62,2.32,18.11
2.02,2.29,18.7
1.92,2.24,18.47
1.95,2.35,18.94
1.89,2.17,21.88
2.68,2.05,18.25
2.06,2.19,18.53
1.83,2.59,18.56
1.78,1.86,18.46
2.23,1.89,18.35
1.96,1.95,18.29
2.32,1.88,18.26
2.21,1.97,18.04
2.0,1.89,18.27
1.96,1.96,18.21
1.83,2.1,19.65
2.28,2.2,18.3
2.12,1.94,18.53
1.86,1.94,19.11
2.12,2.06,18.27
2.37,2.42,18.5
1.82,2.48,18.55
2.1,2.0,19.51
1.98,2.23,20.36
1.89,2.14,20.35
1.96,2.25,19.27
2.52,2.14,19.35
2.0,2.11,18.9
2.57,2.69,18.29
2.09,3.13,18.27
1.89,2.63,18.39
2.15,3.01,21.09
2.08,2.75,18.31
2.23,2.11,18.39
1.97,2.09,25.13
2.09,2.22,18.07
2.04,2.11,18.34
1.93,2.16,18.31
1.99,2.1,18.43
2.18,2.83,19.98
2.25,2.49,19.29
1.98,2.31,18.41
2.38,2.33,18.26
2.09,2.35,18.43
2.06,2.07,18.19
2.1,2.07,18.4
2.35,2.2,18.48
2.09,2.04,18.36
2.2,2.22,18.64
1.94,2.17,18.2
2.02,2.38,19.42
2.18,2.11,18.39
1.91,2.21,19.77
1.93,2.01,18.47
2.23,2.07,18.7
2.67,2.03,18.2
2.6,2.41,19.72
1.99,2.02,19.28
2.19,1.95,18.89
2.04,2.06,19.18
2.19,2.15,18.6
2.38,2.04,18.78
2.92,2.04,19.23
2.3,2.61,19.32
1.88,2.18,18.81
2.01,2.23,18.56
2.59,2.26,20.71
1.96,2.33,24.52
2.08,2.27,18.84
2.56,2.19,19.33
2.23,2.05,18.66
2.13,2.26,18.73
2.53,2.22,19.08
2.12,2.52,21.89
2.6,2.12,18.48
2.03,2.09,19.23
2.47,2.1,18.24
2.1,2.12,19.05
1.99,2.35,18.53
1.87,2.34,18.42
2.48,2.24,18.3
1.95,2.47,18.9
1.95,2.36,3582.99
1.92,2.97,19.42
1.98,2.69,18.23
2.86,2.5,18.28
2.24,2.03,18.74
2.04,2.59,19.03
2.05,2.27,18.18
1.84,2.4,18.09
1.91,2.08,18.41
1.9,2.32,18.58
1.9,2.52,18.56
2.81,2.28,18.39
2.17,2.21,19.09
2.18,2.1,18.93
2.0,2.45,19.02
2.06,3.27,26.18
2.22,2.23,19.49
1.95,2.47,19.14
2.31,2.09,18.91
1.92,2.17,18.69
2.83,2.02,18.37
2.26,2.87,18.88
2.5,2.71,18.42
2.45,3.12,18.49
2.14,3.28,20.28
2.78,2.72,19.0
2.1,2.51,18.73
2.15,3.54,18.97
2.12,2.37,18.16
2.51,2.23,18.23
2.19,1.98,18.73
2.12,2.6,23.92
1.9,2.54,21.86
3.04,2.9,25.52
2.09,2.6,18.61
2.23,2.27,18.07
2.94,2.17,24.55
1.93,2.29,20.84
2.03,3.06,18.98
2.47,2.7,27.4
1.97,2.23,19.02
1.91,3.56,19.28
2.03,2.06,18.6
2.01,2.1,18.43
2.68,2.45,17.99
1.96,3.6,17.94
2.04,2.32,18.25
1.98,2.32,19.66
2.94,2.61,18.49
2.13,2.55,17.99
1.76,2.08,18.27
1.94,1.91,18.1
1.99,1.85,18.1
2.05,2.14,18.41
2.02,1.93,18.67
1.71,2.06,18.77
1.82,2.54,18.22
1.78,1.97,18.95
1.71,2.69,19.21
2.14,2.64,19.25
2.13,2.05,21.0
2.04,1.97,18.46
2.12,2.15,18.26
2.09,2.2,18.67
2.33,2.13,18.78
2.1,2.2,19.24
2.07,2.08,18.97
1.93,2.25,18.48
1.92,2.35,19.11
2.42,2.13,18.25
2.12,2.76,18.68
1.82,2.07,20.46
1.89,1.95,18.63
2.01,2.45,18.54
1.88,2.03,18.27
1.95,3.01,19.57
1.95,2.21,18.57
1.86,2.13,18.25
2.36,2.55,18.35
1.87,2.19,18.4
1.88,1.9,26.75
2.61,1.92,21.92
2.14,2.01,23.06
2.54,2.36,18.45
2.08,2.2,19.02
2.07,2.01,18.99
2.27,1.95,18.74
2.08,2.24,18.73
2.07,2.97,18.81
1.84,2.82,19.09
2.01,2.2,20.04
2.04,1.96,19.38
1.83,2.56,18.18
1.75,1.87,18.44
1.97,2.06,19.29
2.05,2.02,25.68
1.88,2.69,18.53
2.49,2.12,18.74
1.97,1.86,18.44
2.12,1.86,18.64
1.99,1.87,18.57
1.98,1.91,19.34
2.56,1.87,18.07
2.05,2.01,18.77
2.05,2.14,18.29
2.1,2.04,18.28
2.49,1.96,18.31
2.16,2.55,18.46
1.93,1.94,18.28
2.36,1.94,18.25
3.08,2.15,19.72
2.39,2.14,18.31
1.95,1.82,18.7
2.39,2.74,19.62
2.04,1.87,18.12
2.23,1.87,18.32
2.15,1.88,18.21
2.64,1.97,18.22
1.94,2.02,18.61
2.26,1.83,18.48
1.94,1.84,18.07
2.09,1.89,18.47
2.23,1.94,18.31
2.24,1.94,18.22
1.95,2.45,18.63
1.95,2.02,17.99
1.82,2.01,18.48
1.86,1.88,18.49
2.0,2.47,18.7
2.19,2.46,18.37
2.33,2.29,18.73
1.93,1.83,18.31
1.86,1.9,19.34
1.97,1.92,18.11
2.0,2.06,28.28
1.87,1.95,33.3
1.89,1.85,18.29
1.87,1.94,17.99
2.05,2.06,24.88
1.85,2.22,18.06
1.94,2.03,17.9
2.02,2.13,18.01
1.85,2.27,17.91
1.74,2.36,18.39
1.83,1.86,18.19
1.75,2.02,18.75
1.75,1.88,18.78
1.9,2.36,18.24
2.01,1.96,18.43
1.93,2.16,18.38
2.02,1.79,18.07
2.35,2.08,18.31
2.34,1.87,18.29
2.3,2.49,18.43
2.14,1.99,18.24
2.02,1.84,18.05
1.93,2.06,18.1
1.9,1.95,18.8
1.75,2.26,18.28
1.99,2.12,18.17
1.91,1.91,17.86
1.92,2.11,19.07
1.87,1.91,24.0
2.04,1.91,18.44
2.01,1.84,18.27
2.32,2.08,19.17
2.12,2.02,18.11
2.1,1.99,18.14
1.9,1.93,18.46
2.93,2.15,18.13
2.21,2.37,18.32
1.91,2.38,18.69
1.96,1.97,18.37
1.91,1.91,18.71
2.32,2.02,18.29
2.16,2.1,18.6
2.21,2.17,18.56
1.99,2.06,18.26
2.12,2.11,18.5
2.19,1.91,18.21
2.27,1.75,17.91
2.27,1.93,18.25
5.1,2.09,18.07
2.18,1.93,18.07
1.9,2.07,17.99
2.16,2.02,18.08
2.0,2.06,18.11
2.23,2.24,18.35
2.06,1.97,18.12
2.36,2.06,18.22
2.34,1.86,17.97
2.04,1.9,18.09
2.75,1.9,18.2
2.02,2.77,18.32
1.97,3.17,18.02
2.1,3.0,17.98
1.88,3.94,18.54
2.38,3.04,23.05
2.23,3.01,19.99
2.05,2.01,18.67
2.0,2.03,18.43
1.96,2.02,18.17
1.87,2.13,18.1
1.99,2.05,18.16
2.0,2.14,18.71
2.0,2.03,18.64
1.93,2.13,18.54
1.88,2.14,18.06
2.12,1.91,17.91
2.55,2.05,17.87
1.79,2.0,18.55
1.75,2.09,18.21
2.08,2.15,18.28
2.18,2.08,18.12
2.21,2.1,22.13
2.05,2.06,23.71
2.28,2.31,18.75
2.73,2.25,18.3
2.15,2.17,18.71
2.47,2.08,23.2
2.34,2.09,26.61
2.18,2.08,18.25
2.44,1.94,17.99
2.01,2.05,18.29
2.14,2.02,17.91
2.09,2.14,18.04
2.1,2.04,17.97
2.06,2.17,20.75
2.11,2.16,18.44
1.69,2.12,20.83
1.92,2.11,18.35
2.35,2.24,18.9
2.26,2.38,18.46
2.45,2.32,18.43
2.19,2.42,18.16
2.07,2.11,18.0
2.67,2.43,19.9
2.35,2.28,19.22
2.38,2.18,18.58
2.17,1.85,18.73
2.43,2.16,18.29
2.48,1.96,18.07
3.53,2.12,18.07
2.53,1.93,18.61
2.12,1.86,18.66
2.54,1.93,18.38
2.1,2.29,18.42
2.0,1.95,18.55
2.23,1.87,18.57
2.13,1.74,18.7
2.63,1.77,18.37
1.89,1.92,18.34
2.05,1.93,26.77
1.96,1.97,18.51
2.11,2.14,18.3
2.03,2.01,18.77
2.43,1.94,18.51
1.94,1.96,18.16
2.11,1.89,17.89
1.97,1.97,18.21
2.08,1.8,18.26
2.08,1.86,18.11
2.26,1.81,18.74
2.28,1.85,18.21
3.0,1.85,18.16
2.29,2.03,18.55
2.65,2.09,20.16
2.38,2.12,24.21
2.04,2.01,18.38
2.49,2.26,17.95
2.17,1.92,18.19
2.39,2.08,18.46
2.41,2.21,18.1
2.06,2.02,18.05
1.92,1.95,18.23
2.0,1.98,18.3
2.0,2.02,18.74
1.9,2.24,30.85
2.38,2.47,18.55
2.27,1.9,18.56
2.2,2.14,18.52
1.9,2.17,18.52
2.71,2.85,19.17
2.68,2.51,18.0
2.25,2.63,17.96
2.04,1.95,19.22
3.11,1.98,18.39
3.9,1.93,18.47
2.57,1.87,18.63
2.57,1.91,18.08
1.93,1.99,18.11
2.01,2.05,18.03
2.35,1.9,18.27
2.08,2.03,18.69
2.04,1.99,17.82
2.56,2.08,18.02
2.31,1.95,18.11
2.2,1.9,18.23
2.04,2.04,19.4
1.95,2.11,23.75
1.84,1.87,18.43
1.8,1.98,18.52
1.88,2.24,18.29
1.87,1.98,18.93
1.88,1.81,18.13
1.94,1.83,23.23
1.82,2.06,19.09
1.81,3.29,19.84
1.89,2.95,19.54
2.38,3.29,18.86
1.95,2.93,20.35
2.0,3.1,24.56
2.06,2.9,18.2
1.97,2.85,18.29
1.9,2.13,18.83
2.26,1.95,19.37
2.52,1.87,21.32
2.05,1.95,19.35
2.07,1.89,19.96
2.12,1.94,21.1
2.05,2.08,18.55
2.08,1.94,20.57
2.0,2.04,26.25
2.85,1.99,19.18
2.62,1.93,22.69
1.94,2.0,20.2
2.22,2.13,18.32
1.97,1.89,23.95
1.91,1.99,24.0
2.58,1.96,19.49
4.58,1.92,20.41
3.46,1.98,19.93
2.49,1.85,20.86
2.17,2.14,21.04
2.13,2.09,19.98
1.86,2.02,18.29
2.33,2.01,19.04
2.15,1.97,18.8
1.96,1.92,20.32
2.72,1.82,19.08
2.46,1.89,19.72
2.19,2.04,19.39
2.2,1.95,18.55
1.91,1.85,18.58
3.1,1.82,19.5
2.89,1.87,19.84
2.33,1.9,20.41
3.88,1.84,18.18
2.08,2.24,18.94
2.27,1.95,19.14
2.16,1.86,19.01
2.4,1.88,19.43
2.11,1.78,19.76
2.06,1.8,20.87
2.89,1.89,19.7
2.1,1.79,19.66
2.11,1.9,19.9
2.0,1.92,18.42
2.08,1.89,18.52
2.79,1.79,18.84
1.96,1.83,18.3
2.36,1.95,18.24
2.12,1.89,18.6
2.19,1.82,22.08
2.35,1.92,18.38
2.53,1.94,18.95
2.02,2.27,18.59
2.17,1.87,18.63
2.4,1.85,18.43
3.1,2.0,18.84
1.92,1.92,18.85
1.91,1.79,18.36
1.96,1.78,18.89
2.53,1.95,19.28
