x448,mlkem768,hqc192
2.89,2.2,51.21
2.73,2.0,51.1
2.61,1.97,50.7
3.07,2.15,50.4
2.79,1.98,50.25
2.69,2.11,50.45
2.71,1.99,50.45
2.83,2.11,51.89
2.75,2.1,50.54
2.72,2.09,50.59
2.82,1.99,50.58
2.56,2.13,51.87
3.04,2.01,50.66
2.91,1.99,51.4
2.96,1.94,50.86
2.96,2.23,50.68
3.3,2.12,50.52
3.06,2.31,50.67
3.25,1.95,52.33
2.85,2.09,50.83
3.08,2.06,50.73
3.2,1.93,51.3
2.93,2.28,50.83
2.89,2.32,53.46
2.92,2.15,50.64
2.8,2.13,50.54
2.65,2.29,50.95
2.56,1.99,54.01
2.89,2.25,51.22
2.79,1.98,50.93
2.65,2.64,50.78
2.74,2.09,50.73
2.76,2.26,50.72
2.78,2.23,50.53
2.82,2.66,51.19
2.75,2.15,51.02
2.74,2.06,50.58
2.88,1.99,52.37
3.01,1.96,51.29
2.71,2.0,51.05
2.75,2.03,51.11
2.82,4.24,50.9
2.67,4.48,51.58
2.81,2.19,50.59
2.69,1.98,52.03
2.62,2.29,50.62
2.73,2.0,51.57
2.55,2.05,50.99
2.71,1.99,52.35
2.59,2.0,54.8
2.66,2.04,50.79
2.77,2.19,50.72
2.67,2.37,50.74
2.66,2.31,50.33
2.64,2.31,50.49
2.65,1.98,50.68
2.56,2.01,51.32
2.62,2.34,52.9
2.5,2.16,52.05
2.59,2.25,51.96
2.75,2.49,81.87
2.78,2.33,56.09
2.73,2.24,51.64
2.7,2.69,53.65
2.6,2.43,51.25
3.66,2.47,51.02
2.73,2.64,50.87
2.78,2.2,52.41
2.85,2.48,51.26
2.87,2.34,51.11
2.68,2.29,51.01
2.63,2.19,50.92
2.86,2.16,50.73
2.95,2.11,51.61
2.63,2.46,50.73
2.9,2.4,50.6
2.57,2.12,50.71
2.68,2.48,54.54
2.7,2.21,50.73
2.59,2.58,51.03
2.57,2.06,50.88
2.92,2.56,50.84
3.25,1.99,72.57
2.84,1.98,52.44
2.93,2.35,53.49
2.72,2.56,52.56
2.87,2.57,51.68
2.88,2.35,52.64
2.95,2.4,50.97
2.79,2.2,50.66
3.06,2.31,50.68
2.96,2.17,50.4
2.74,2.18,53.36
3.14,2.28,50.5
3.02,2.34,51.14
2.83,2.21,51.02
2.94,2.37,50.6
3.01,2.19,50.76
2.78,2.62,52.15
2.89,3.16,54.95
3.04,3.38,50.45
2.89,4.05,50.47
3.31,3.6,50.55
3.26,3.02,50.39
2.92,2.51,50.62
2.93,2.38,50.48
2.93,3.0,50.28
2.77,2.74,50.56
2.93,2.3,50.36
3.09,2.62,50.55
2.83,2.57,52.56
2.85,2.75,50.95
4.14,2.28,51.64
2.77,2.42,50.94
2.77,2.58,51.87
3.02,2.22,55.84
2.98,2.45,52.36
3.05,2.24,53.38
2.9,2.3,51.53
4.09,2.54,50.68
2.99,2.21,52.91
2.99,2.47,51.15
3.06,2.2,51.39
2.76,2.31,51.16
2.82,2.46,51.47
2.69,2.34,51.77
2.82,2.23,52.96
3.16,2.14,52.7
2.63,2.27,52.48
2.82,2.18,51.57
2.59,2.1,50.89
2.64,2.25,51.14
2.51,2.31,50.85
2.79,2.26,51.52
2.67,2.23,60.58
2.97,2.27,52.0
2.8,2.4,64.61
3.03,2.4,52.95
3.01,2.48,55.74
2.83,2.22,52.1
2.85,2.18,50.62
2.57,2.15,50.54
2.92,2.11,52.0
2.65,2.1,54.51
3.34,2.01,53.87
3.12,2.37,50.61
2.63,2.19,51.14
3.07,2.01,50.56
2.62,2.23,50.77
2.56,2.21,52.02
3.54,2.13,51.09
2.75,2.15,51.74
2.65,2.66,50.88
2.86,2.31,50.8
2.66,2.48,50.55
2.71,2.21,50.96
2.62,3.19,52.37
3.24,2.38,55.98
2.67,2.31,54.75
2.56,2.46,51.7
2.7,2.14,52.83
2.7,2.01,64.7
3.1,2.11,54.96
2.82,2.03,52.94
2.92,2.05,51.25
3.16,2.28,50.96
2.8,2.1,50.86
2.86,2.54,52.74
2.58,2.53,53.1
2.65,2.2,60.18
2.75,2.13,54.16
2.64,2.09,51.61
2.68,2.6,56.81
2.73,2.05,57.09
2.98,2.07,53.68
4.04,2.26,51.95
2.94,2.19,53.45
2.57,2.19,59.66
2.6,2.2,54.37
2.6,2.44,55.03
2.66,2.06,51.69
3.32,2.26,50.99
2.87,2.16,51.96
2.58,2.02,50.79
2.57,2.14,54.14
2.58,2.14,53.83
2.56,2.34,53.49
2.76,2.66,70.22
3.49,2.21,53.24
2.82,2.52,50.71
2.79,2.4,51.44
2.68,2.19,52.33
2.73,2.34,56.18
2.77,2.15,50.95
3.17,2.12,52.33
2.72,2.29,54.4
3.1,2.07,54.08
2.68,2.51,54.29
2.72,2.38,51.46
2.6,2.45,52.01
3.08,2.14,58.43
2.85,2.16,50.85
2.58,2.33,52.35
3.07,2.12,53.47
2.75,2.04,52.62
2.66,2.17,55.89
3.13,2.03,51.15
2.86,2.06,50.7
2.56,2.21,51.5
2.65,2.37,50.66
3.03,2.17,51.37
3.96,2.18,50.64
3.93,2.12,50.81
3.75,2.37,57.14
3.88,2.12,52.09
3.29,2.2,52.75
2.91,2.21,54.06
3.0,2.05,51.26
2.81,2.11,50.9
2.73,2.48,51.92
2.62,2.13,51.84
2.65,2.0,50.72
2.66,2.08,50.52
2.53,2.02,51.35
2.5,2.32,55.12
2.68,2.3,55.68
2.64,2.4,54.0
2.59,2.21,60.77
2.68,2.15,50.44
2.5,2.32,50.32
2.68,2.47,53.53
2.71,2.71,51.23
2.56,2.15,52.39
2.56,2.06,50.92
2.62,2.12,52.85
2.54,2.07,51.58
2.64,2.73,50.67
2.53,2.19,52.02
2.71,2.81,51.25
2.47,2.15,53.07
2.65,2.55,51.9
2.58,2.48,50.67
2.51,2.3,51.5
2.91,2.69,50.96
2.71,2.08,53.73
2.78,2.31,51.94
2.53,2.31,51.28
2.58,2.29,51.34
2.64,2.79,56.18
2.83,2.36,51.96
3.46,2.38,53.02
3.23,2.57,52.19
2.92,2.95,51.87
2.94,2.96,51.33
2.98,2.98,51.47
3.21,2.24,51.13
2.82,2.17,52.49
3.16,1.96,53.13
2.74,2.09,50.62
2.86,1.98,50.49
2.62,2.12,51.27
2.68,2.09,50.87
2.88,3.11,51.15
2.94,2.27,53.36
3.04,2.07,50.8
