x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
1.14,1.41,1.26,8.37,8.38
0.9,1.13,0.95,7.62,7.41
0.87,1.04,0.96,7.51,7.17
0.83,1.04,0.9,7.26,7.08
0.79,1.0,0.86,7.29,6.99
0.84,1.05,0.88,7.17,7.09
0.87,1.04,0.86,7.32,6.96
0.81,0.97,0.85,7.27,7.19
0.86,0.99,0.86,7.27,6.89
0.77,1.0,0.83,7.18,6.99
0.76,1.0,0.8,7.26,7.06
0.77,1.12,0.82,7.22,6.9
0.79,1.0,0.84,7.19,6.96
0.76,0.98,0.84,7.27,7.14
0.76,0.99,0.81,7.29,6.89
0.82,0.99,0.81,7.25,7.05
0.79,1.05,0.87,7.17,7.03
0.76,0.99,0.82,7.29,6.98
0.81,0.97,0.82,7.24,6.99
0.79,1.01,0.84,7.11,7.07
0.78,0.97,0.81,7.19,6.97
0.75,0.97,0.83,7.26,7.17
0.76,0.98,0.83,7.17,7.05
0.77,0.96,0.85,7.28,6.93
0.77,0.98,0.79,7.14,7.16
0.79,1.02,0.87,7.23,6.95
0.78,0.98,0.84,7.27,7.0
0.76,0.98,0.81,7.28,7.03
0.78,1.01,0.81,7.32,7.17
0.82,0.99,0.81,7.1,7.03
0.81,1.06,0.87,7.27,7.01
0.77,0.97,0.82,7.25,7.08
0.77,0.99,0.83,7.25,6.93
0.78,0.98,0.83,7.21,6.94
0.79,0.97,0.8,7.26,7.17
0.75,0.98,0.84,7.43,7.0
0.79,0.96,0.81,7.15,6.97
0.77,1.01,0.83,7.3,6.91
0.77,1.0,0.8,7.25,7.08
0.79,0.98,0.81,7.17,7.0
0.81,0.98,0.84,7.24,6.9
0.8,0.98,0.83,7.18,7.0
0.76,0.98,0.85,7.3,7.1
0.79,0.98,0.8,7.22,7.09
0.79,1.03,0.82,7.29,7.12
0.75,0.97,0.85,7.19,7.03
0.78,0.97,0.84,7.23,7.06
0.8,1.08,0.83,7.18,7.05
0.79,0.98,0.83,7.43,7.09
0.79,1.0,0.83,7.14,7.12
0.77,0.97,0.87,7.25,6.92
0.76,0.98,0.8,7.15,7.1
0.76,1.0,0.8,7.23,6.99
0.79,0.99,0.84,7.32,7.17
0.78,0.99,0.8,7.21,6.97
0.74,0.96,0.83,7.16,7.11
0.78,0.98,0.81,7.21,6.97
0.78,0.96,0.8,7.23,7.12
0.79,0.98,0.82,7.2,6.94
0.74,1.0,0.82,7.32,7.09
0.79,0.97,0.85,7.25,7.0
0.78,0.95,0.81,7.19,7.03
0.77,1.0,0.83,7.23,7.04
0.79,0.99,0.83,7.23,6.95
0.77,0.98,0.81,7.26,7.15
0.77,0.97,0.81,7.26,7.0
0.75,0.99,0.82,7.27,7.12
0.79,0.97,0.83,7.14,7.06
0.78,0.97,0.82,7.26,7.03
0.77,0.99,0.82,7.36,6.93
0.76,1.0,0.8,7.2,7.06
0.77,0.98,0.81,7.26,7.14
0.79,0.97,0.81,7.27,7.17
0.74,0.97,0.83,7.25,7.08
0.76,0.98,0.81,7.15,7.19
0.79,0.96,0.81,7.21,6.95
0.78,0.96,0.82,7.23,7.0
0.81,0.97,0.81,7.17,7.12
0.78,0.96,0.84,7.24,6.98
0.77,1.01,0.83,7.23,7.02
0.77,0.98,0.8,7.24,7.08
0.79,1.0,0.83,7.15,7.15
0.77,0.99,0.82,7.2,6.91
0.77,0.96,0.8,7.27,7.17
0.77,0.96,0.81,7.34,7.29
0.75,0.94,0.81,7.32,7.13
0.8,0.97,0.84,7.38,7.19
0.82,1.0,0.81,7.39,7.05
0.76,1.02,0.82,7.38,7.25
0.76,0.99,0.83,7.21,7.01
0.8,1.01,0.8,7.47,7.06
0.75,1.07,0.79,7.26,6.93
0.79,1.01,0.81,7.27,7.0
0.8,0.98,0.88,7.28,7.11
0.77,0.98,0.83,7.27,7.11
0.77,0.99,0.82,7.4,7.06
0.78,0.98,0.81,7.23,6.92
0.79,0.99,0.82,7.1,7.16
0.77,0.98,0.84,7.23,7.06
0.79,0.96,0.85,7.33,6.93
0.79,0.98,0.88,7.5,7.07
0.81,0.96,0.8,7.26,7.26
0.74,0.97,0.83,7.28,7.17
0.77,0.97,0.83,7.29,7.01
0.81,0.98,0.81,7.21,7.09
0.75,0.98,0.81,7.32,7.16
0.75,0.99,0.79,7.2,7.17
0.79,0.98,0.82,7.25,7.15
0.8,0.97,0.8,7.39,7.14
0.77,0.97,0.82,7.16,7.11
0.79,0.96,0.85,7.09,7.15
0.78,0.99,0.82,7.4,7.24
