P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
11.85,16.01,6.98,49.32,40.07
11.97,15.85,6.88,48.86,39.79
11.9,16.13,6.88,48.84,40.62
11.86,15.89,6.99,48.74,40.11
11.94,15.83,6.97,48.73,39.81
11.91,15.82,6.82,48.76,40.12
11.75,15.93,7.01,48.95,39.76
11.84,15.9,6.9,48.88,39.78
11.9,16.02,6.78,48.62,39.87
11.77,16.01,6.91,49.06,39.97
12.02,15.99,6.84,49.29,40.15
11.91,16.05,6.83,49.42,40.16
12.05,16.07,6.9,48.89,40.03
11.86,16.34,6.93,48.72,40.03
12.01,15.96,6.94,48.63,39.94
11.94,15.83,6.89,49.52,40.02
11.8,15.88,6.91,48.99,40.02
12.0,15.94,6.79,48.92,39.72
11.79,15.95,7.02,48.85,39.86
11.89,15.97,6.99,48.95,40.16
11.83,15.95,6.95,48.9,39.92
11.85,16.01,7.01,48.79,39.81
11.98,16.03,6.82,48.83,39.39
11.88,15.95,6.8,48.67,39.68
11.8,16.06,7.14,48.79,39.55
11.9,15.93,6.83,48.87,39.58
11.99,15.97,6.96,49.0,40.04
12.03,15.81,7.05,48.65,39.55
11.8,15.78,6.81,48.77,39.69
11.98,15.74,6.9,48.95,39.53
12.11,16.11,6.92,48.87,39.67
11.78,15.77,6.88,48.75,39.53
11.97,15.9,6.94,48.91,39.66
11.89,15.84,7.0,48.62,39.64
11.93,16.05,6.95,48.57,39.75
11.95,15.98,6.88,48.67,39.59
11.96,15.99,6.94,48.95,39.44
11.93,15.91,6.88,48.78,39.88
11.8,15.99,6.94,48.8,39.72
12.03,15.99,6.88,48.85,39.66
11.83,16.05,6.83,48.88,39.38
11.93,16.11,6.98,48.87,39.55
11.96,15.91,6.88,48.81,39.73
11.79,15.93,6.88,49.28,39.6
11.77,16.12,6.9,50.68,39.61
11.89,15.94,6.83,48.84,39.56
11.9,15.97,6.91,49.17,39.78
11.93,16.02,6.83,49.25,39.86
11.88,15.84,6.96,49.23,39.6
11.82,15.98,6.79,49.06,39.62
11.93,16.04,6.9,49.09,39.67
11.97,16.07,6.73,49.0,39.55
11.9,15.93,6.78,49.5,39.48
11.85,15.86,6.94,49.27,39.59
12.02,15.89,6.92,49.21,39.59
11.8,15.79,6.9,49.34,39.39
12.04,15.92,7.12,49.03,39.63
11.91,15.98,6.82,49.15,39.42
12.1,15.99,6.96,49.25,39.71
11.7,15.89,6.89,49.12,39.76
12.01,15.92,6.8,49.0,39.62
11.88,16.07,6.97,49.04,39.83
11.86,16.16,6.96,49.25,39.45
11.99,15.88,6.9,49.2,39.75
11.79,16.0,6.94,49.42,39.6
11.94,15.96,6.88,49.4,39.66
11.97,16.09,6.88,48.96,41.59
11.79,16.03,7.01,49.24,40.59
11.79,15.95,6.97,49.52,40.01
11.86,15.92,6.86,49.1,39.68
11.83,16.07,6.94,49.14,40.85
11.81,18.51,6.92,48.99,39.68
11.73,15.95,7.01,49.17,39.74
11.79,15.95,6.89,48.91,39.74
11.92,15.91,6.91,49.15,43.32
11.98,15.99,6.86,49.19,44.16
11.86,16.04,6.96,49.09,44.04
11.81,15.87,6.85,49.48,43.73
12.09,16.07,6.92,49.65,44.03
11.88,16.0,6.9,49.45,44.16
12.08,15.9,6.84,49.24,44.35
11.92,16.0,6.78,49.09,44.1
11.95,16.0,7.02,49.15,44.13
12.13,15.9,6.87,49.68,44.22
11.86,15.93,6.92,49.02,43.72
12.05,15.87,6.91,49.17,42.39
11.84,15.93,6.89,49.08,39.98
11.99,15.91,6.9,49.12,40.08
11.88,16.25,7.0,49.08,39.9
11.94,16.22,6.94,49.26,40.13
11.81,16.09,6.79,48.88,39.85
11.87,16.02,6.91,48.92,39.66
11.97,16.1,6.81,50.97,39.92
11.83,15.85,6.82,51.52,39.87
11.93,16.27,6.99,49.88,40.01
11.97,15.95,6.75,50.04,39.83
11.99,15.91,6.88,50.01,40.05
11.85,15.94,6.92,49.03,40.01
11.85,16.11,6.94,49.15,39.73
11.81,15.88,6.85,49.43,39.95
11.9,15.98,6.97,49.19,39.73
11.9,15.96,6.83,49.05,39.71
11.91,15.97,6.79,49.3,40.48
11.9,15.97,6.93,49.11,39.69
11.91,15.89,6.83,49.07,39.82
11.95,15.93,6.78,48.97,39.81
11.86,15.88,6.84,48.87,39.78
11.9,15.87,6.89,54.72,39.84
11.95,16.01,6.87,49.0,39.85
11.96,15.98,6.95,48.91,39.93
11.9,15.89,6.87,48.94,40.19
11.92,15.93,6.89,48.79,39.78
11.93,16.13,6.85,48.59,39.76
11.96,15.96,6.98,48.75,40.01
11.93,15.96,6.85,48.78,39.92
11.91,15.97,6.87,48.78,39.97
11.84,16.14,6.88,48.56,39.83
11.94,16.12,6.83,48.72,39.82
11.9,16.02,6.89,48.83,40.13
11.95,15.99,6.82,48.7,39.71
11.87,15.88,6.91,48.66,39.8
12.03,16.02,6.92,48.7,40.13
11.93,16.12,6.96,48.65,39.76
11.8,15.93,6.94,48.95,39.8
12.02,16.16,6.87,48.93,40.26
12.01,16.01,6.98,48.81,39.79
12.07,16.08,6.88,48.69,39.98
11.91,15.97,6.84,48.63,39.8
11.84,16.06,6.99,48.73,39.87
12.78,15.98,6.89,48.9,39.84
12.99,16.1,6.95,48.86,39.73
11.96,16.05,6.93,48.5,40.15
12.03,16.14,6.95,48.9,39.57
12.01,16.03,6.86,48.6,39.61
