P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
31.32,36.43,23.96,131.48,184.26
37.94,36.12,15.58,198.33,131.94
41.1,33.47,23.23,122.35,161.4
39.67,33.38,24.42,195.92,157.67
37.39,52.58,21.14,201.12,115.64
40.23,51.75,21.39,131.08,184.59
24.92,56.2,22.28,198.9,185.45
38.33,56.56,21.01,125.52,107.39
31.16,34.44,21.08,198.53,164.97
25.79,56.35,22.23,125.01,105.7
38.37,34.85,20.98,198.1,182.32
29.54,55.73,21.84,198.16,101.93
40.91,56.83,21.72,125.25,147.75
27.05,53.96,20.21,213.41,101.79
42.71,33.15,21.77,176.95,173.37
35.95,48.96,22.04,211.61,105.57
39.19,50.36,21.81,128.77,108.59
27.89,54.83,14.67,211.15,169.54
28.72,52.77,24.72,125.15,105.05
41.39,32.14,23.87,189.86,115.36
24.11,40.93,23.82,123.75,111.17
39.52,36.85,21.45,204.88,172.03
31.65,32.31,18.75,198.78,174.45
40.94,53.35,23.81,186.6,102.43
29.83,53.73,23.62,171.0,119.33
40.66,55.6,21.56,195.2,102.75
25.93,35.64,21.09,121.11,160.75
26.15,53.32,21.45,199.97,102.59
41.12,50.11,21.95,200.41,163.78
31.46,51.45,22.95,124.39,103.89
24.67,52.76,23.1,194.04,107.72
25.42,38.11,22.27,128.42,156.97
39.55,50.42,22.63,121.4,117.16
26.86,46.43,16.55,120.72,179.9
40.79,55.98,22.85,199.9,120.45
33.02,36.04,14.36,122.39,118.67
37.1,50.62,21.59,133.95,106.07
23.66,33.64,21.5,200.66,157.71
31.52,53.58,16.15,3716.59,109.52
25.86,45.32,23.76,194.97,170.04
40.68,51.11,22.83,128.18,112.87
26.36,38.53,14.51,135.13,113.71
38.46,33.72,22.23,121.75,134.34
24.25,50.02,21.33,199.39,111.45
39.3,43.44,16.08,190.51,126.81
25.26,32.95,23.11,196.4,120.15
24.19,33.26,22.72,155.31,129.57
41.53,35.38,19.26,185.6,106.78
28.83,33.91,24.46,121.73,173.61
26.83,52.62,22.46,126.5,127.22
31.83,38.72,21.92,144.55,135.81
39.0,52.72,23.53,206.53,143.95
28.66,45.12,22.21,123.58,102.5
40.56,34.79,20.61,121.11,137.4
40.4,53.03,14.88,195.73,103.72
24.76,36.37,22.64,119.42,103.79
40.75,42.65,23.43,199.06,113.68
34.51,3597.72,22.85,125.25,102.52
26.54,51.0,13.86,186.5,106.39
37.0,34.97,24.65,128.75,104.58
26.76,51.04,23.22,205.2,101.76
27.43,34.01,22.21,121.81,135.58
27.79,52.47,14.12,122.38,103.81
24.18,33.7,22.72,201.43,117.2
24.71,53.44,16.04,121.45,106.83
23.97,34.57,24.55,193.08,128.53
25.72,53.11,16.11,124.59,122.73
40.6,36.35,22.56,198.45,108.02
24.21,52.9,13.94,198.87,118.93
40.3,33.44,22.55,134.83,164.62
26.92,33.66,15.46,136.69,111.07
40.28,52.29,22.72,200.49,135.62
30.9,35.03,14.03,120.95,109.92
33.6,33.44,24.43,195.18,102.84
38.71,33.99,22.93,126.6,114.05
24.82,50.49,15.81,202.34,104.26
40.39,34.53,24.88,172.57,110.05
25.61,55.16,14.22,198.52,107.81
38.57,33.11,24.94,120.75,106.05
37.69,53.93,13.82,205.0,130.1
25.23,45.0,22.53,122.97,121.17
40.74,52.23,22.22,199.15,115.07
36.32,35.9,22.78,121.62,105.07
24.24,54.31,17.14,204.24,102.39
26.65,33.84,20.7,123.5,107.51
23.62,51.21,22.54,202.06,103.54
40.77,33.49,14.36,203.84,162.92
41.42,37.23,22.73,121.19,110.28
26.15,51.21,21.11,123.5,114.25
26.04,33.62,24.25,208.21,107.44
24.35,54.04,16.97,123.08,106.51
24.4,35.1,23.31,193.74,108.38
38.71,54.81,16.52,197.55,156.46
27.3,43.23,18.64,121.81,129.63
26.09,53.64,21.62,185.8,113.85
38.73,36.4,23.45,187.2,115.56
36.8,52.24,23.12,120.77,108.43
41.07,35.17,16.75,126.36,106.82
27.29,54.13,24.14,191.14,111.14
43.79,36.24,13.99,120.97,104.24
30.86,54.94,24.48,187.54,128.95
26.69,51.6,23.82,211.46,102.28
23.79,51.81,24.66,203.04,114.2
38.64,53.46,23.96,123.1,111.03
32.22,56.11,24.8,192.69,103.56
39.72,55.86,24.4,201.52,102.9
27.74,56.54,22.38,210.43,137.76
24.61,36.12,22.9,193.94,102.11
25.73,53.22,24.56,196.96,159.92
37.15,34.65,22.98,204.67,105.15
25.78,53.69,22.82,125.05,104.13
38.02,36.77,24.5,194.54,112.0
23.68,52.22,23.64,184.04,112.94
23.82,57.31,23.78,189.31,114.11
38.67,55.28,18.69,190.29,166.05
29.42,56.64,24.4,191.23,108.53
24.83,33.79,24.32,129.74,148.55
25.12,56.44,21.99,191.91,107.92
24.03,37.9,14.83,185.65,106.64
24.94,53.67,21.53,204.82,103.41
24.29,52.09,21.8,120.44,105.03
26.31,36.09,23.9,209.99,103.86
34.04,50.7,14.1,193.07,148.44
25.01,51.96,22.18,140.78,106.02
25.06,44.23,16.28,124.49,130.27
25.82,54.53,20.06,206.6,175.87
24.72,55.1,23.76,120.9,104.29
26.34,42.78,23.07,191.27,103.26
37.09,52.01,22.43,126.34,102.02
24.54,51.71,23.7,211.52,110.36
41.66,35.98,25.06,121.59,104.51
25.67,54.97,14.36,189.78,106.68
25.23,40.51,22.52,119.42,110.15
24.59,50.13,13.92,188.38,105.33
24.4,50.44,25.06,124.25,103.5
25.36,51.43,23.33,160.5,168.88
24.56,52.8,14.47,188.46,104.44
25.23,50.62,22.7,126.03,103.12
24.09,50.68,14.12,188.99,164.09
28.69,50.68,23.22,120.36,158.39
30.36,50.23,23.04,203.56,146.12
24.98,43.29,15.02,124.49,113.67
37.18,39.38,14.68,192.01,115.11
25.05,39.88,14.48,122.26,169.13
24.07,39.48,21.66,189.96,170.28
29.49,35.17,21.78,168.72,108.52
25.12,43.68,23.37,153.01,174.02
29.27,45.87,14.13,154.34,104.94
29.06,44.06,22.19,199.19,122.12
29.59,43.1,13.9,130.03,104.58
28.72,41.68,13.82,123.71,165.98
24.49,46.56,21.16,200.99,115.8
25.55,51.32,23.23,128.45,112.39
25.29,51.53,14.61,188.33,124.47
24.05,44.8,21.42,126.24,181.1
34.63,43.41,14.1,190.42,102.92
33.4,48.56,24.07,130.13,3668.78
24.89,37.31,21.87,202.35,165.13
25.97,44.85,15.65,128.08,166.08
24.6,44.23,13.84,189.73,102.34
24.58,43.31,21.75,127.88,160.55
24.98,43.05,22.53,196.82,104.51
23.39,44.0,13.94,202.61,175.54
28.02,40.27,23.13,134.64,169.34
25.54,40.26,24.05,187.75,139.72
24.61,41.08,13.96,163.28,107.01
24.95,45.34,24.5,128.86,161.78
23.82,50.67,23.93,152.51,160.52
25.52,33.65,22.81,151.86,103.1
24.37,53.99,22.92,154.59,170.85
23.93,37.17,14.2,124.62,133.84
24.18,50.83,23.1,159.71,107.74
24.8,51.47,23.3,152.12,111.74
23.58,42.06,23.28,166.05,174.82
24.59,51.73,16.25,126.56,105.34
24.3,34.37,21.72,194.89,174.85
25.78,54.43,15.12,126.49,102.4
24.13,35.43,24.18,204.27,175.51
23.97,49.88,14.04,207.84,103.19
24.5,50.56,21.44,124.3,159.43
24.61,34.63,21.73,128.23,160.1
25.99,35.15,21.63,192.46,104.66
25.33,33.89,14.31,123.31,173.68
25.91,51.32,22.5,142.15,103.69
24.0,50.41,22.61,192.08,162.41
23.73,50.18,14.64,125.08,162.35
23.65,35.09,22.85,126.72,103.56
24.67,51.66,24.52,198.66,106.13
23.79,43.77,21.64,122.7,103.85
