x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
2.55,3.56,4.62,32.84,31.75
2.81,4.43,3.3,31.16,20.29
3.48,3.56,3.5,29.73,29.61
2.17,3.08,3.83,33.05,32.2
3.1,4.08,3.27,30.35,30.1
3.23,3.93,3.3,30.82,19.85
3.22,3.95,2.56,31.74,30.51
2.36,3.06,3.82,30.59,30.01
2.58,4.0,3.65,30.18,32.57
2.6,3.6,3.93,26.9,29.43
2.61,3.23,3.54,31.71,19.42
3.06,3.66,3.7,31.76,30.63
3.11,2.74,3.79,31.1,19.36
3.16,3.58,3.7,32.15,32.06
3.0,3.02,3.73,32.7,28.65
3.34,3.61,3.55,30.98,30.85
2.72,3.89,3.56,32.19,28.85
3.31,3.68,3.5,24.45,30.81
3.15,2.71,3.58,32.19,20.12
3.25,3.23,3.79,31.09,32.95
3.45,4.33,3.52,32.41,31.97
2.35,3.67,3.23,30.27,19.33
2.05,2.64,2.72,27.44,19.96
3.4,2.58,2.64,19.82,31.35
2.14,2.89,2.58,30.17,28.88
3.43,2.71,2.73,30.74,20.23
3.34,3.89,3.19,33.43,32.25
3.49,3.33,2.79,30.18,22.82
3.33,3.88,2.89,29.05,19.55
3.39,3.54,2.53,30.85,29.28
3.46,2.63,2.72,29.29,30.26
3.14,3.34,2.56,30.0,19.35
3.5,3.64,2.61,28.03,26.18
3.52,2.97,2.7,21.38,20.32
3.14,4.28,2.85,29.85,31.92
3.28,2.86,3.63,21.87,31.85
3.41,4.25,3.83,19.4,28.76
3.44,3.47,2.7,32.4,31.76
2.36,3.25,3.22,32.57,31.02
2.1,3.58,2.81,31.13,30.63
2.3,2.66,3.38,31.72,30.34
2.87,2.69,2.41,32.3,29.44
2.43,3.88,2.53,34.41,30.97
2.82,2.88,2.94,29.95,30.43
3.2,2.63,3.54,30.68,31.39
3.43,2.66,2.65,31.32,34.02
3.0,3.55,2.85,29.71,32.2
2.78,3.3,2.65,32.58,31.96
2.56,4.23,2.77,29.62,29.07
2.46,3.66,3.25,20.06,29.32
3.31,4.27,2.69,19.82,21.86
3.43,2.64,2.76,20.54,31.21
2.78,3.05,3.11,19.25,21.55
2.37,4.1,2.88,31.58,23.49
2.57,4.09,2.88,26.05,32.17
3.23,4.09,3.52,30.93,29.52
3.5,4.05,3.54,18.89,19.47
3.34,3.9,3.48,21.77,30.85
3.45,4.2,3.68,30.89,32.57
3.44,3.39,2.58,20.99,22.54
3.47,4.19,2.46,19.98,33.31
3.37,3.67,3.86,20.98,30.74
3.42,2.89,2.65,30.25,31.62
3.51,3.86,2.72,31.54,21.23
3.46,3.33,3.18,32.9,32.69
2.2,3.92,2.54,32.32,19.05
3.34,3.49,2.59,31.89,31.27
3.28,3.94,2.65,19.7,19.63
3.49,3.63,2.76,29.92,28.84
3.28,4.16,3.69,19.45,30.5
3.35,3.9,3.52,20.2,32.47
2.19,2.76,3.46,32.84,19.83
3.17,4.15,3.33,19.48,27.42
3.14,4.17,2.69,19.66,30.3
3.4,4.2,2.71,20.21,30.68
2.4,3.62,2.65,29.7,21.02
3.35,3.9,3.78,19.52,32.48
3.43,4.12,2.98,19.18,31.57
3.3,2.75,2.79,20.97,30.52
3.21,4.11,2.81,20.95,19.76
3.4,3.72,3.15,19.74,33.78
3.49,3.34,3.85,32.41,32.85
3.29,3.07,3.32,33.21,33.37
3.37,4.15,3.77,20.35,19.62
3.13,2.93,3.63,24.55,20.84
3.48,4.4,3.35,32.18,24.61
3.44,2.83,2.78,32.23,24.81
