p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
25.03,27.75,17.83,131.96,117.02
24.50,25.89,18.36,145.34,127.53
25.20,26.86,18.35,139.67,116.86
24.80,25.94,18.16,144.57,116.23
25.44,27.24,18.47,162.28,114.63
24.15,25.69,17.11,145.78,117.76
24.81,27.38,17.94,127.89,115.75
24.27,27.14,21.74,137.88,153.02
25.33,26.97,17.12,128.50,114.82
27.44,25.34,17.44,128.27,117.55
24.36,26.09,19.23,159.53,117.02
24.84,25.92,18.71,131.62,127.25
24.27,26.39,18.08,131.39,116.79
25.29,25.98,17.54,132.73,120.78
27.62,25.49,17.23,130.77,151.24
30.78,27.45,17.07,130.42,133.17
25.14,27.47,17.29,130.06,126.98
28.78,36.53,17.70,132.16,117.31
25.86,25.53,17.35,129.30,119.89
25.99,25.86,17.21,130.23,120.91
37.29,26.11,17.54,131.47,120.49
24.32,26.54,17.00,145.80,117.71
24.73,26.28,21.23,154.95,120.31
27.78,25.52,16.90,141.46,119.70
24.95,29.96,17.89,129.25,123.48
25.43,26.45,18.42,169.90,119.57
25.78,26.56,17.62,149.77,117.23
24.69,26.35,17.75,143.05,115.96
25.45,25.74,16.85,140.76,119.28
25.05,26.86,18.12,126.82,120.63
25.13,26.72,17.08,127.04,119.08
25.30,25.35,17.06,126.85,118.77
25.54,25.92,17.23,132.98,128.03
28.76,36.06,17.01,130.28,121.00
25.47,27.45,17.09,136.56,120.63
26.45,27.18,16.99,127.56,144.45
25.72,27.83,16.84,141.27,124.66
24.79,25.82,17.65,130.79,117.77
25.53,25.51,17.79,146.68,118.54
24.70,25.60,17.98,138.57,119.08
24.57,27.38,16.97,129.09,131.35
26.01,26.55,16.94,131.04,130.33
25.38,26.63,17.37,130.03,115.89
24.80,26.52,21.31,128.24,124.73
25.47,26.24,17.14,133.32,124.80
26.39,25.83,16.84,141.79,119.21
24.89,25.67,17.56,140.30,121.56
24.50,33.68,17.01,140.67,143.28
33.58,25.86,17.28,132.34,
