p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
76.90,85.21,76.69,196.95,178.98
75.42,82.70,71.45,214.90,190.88
76.48,82.85,73.21,204.61,178.74
75.79,82.29,75.31,210.03,178.21
78.55,85.57,74.71,232.33,176.50
74.46,81.93,70.71,213.34,181.22
77.29,96.43,72.40,193.37,178.27
74.64,85.01,75.05,203.65,206.19
77.08,86.40,69.84,190.97,176.31
88.42,88.80,69.59,193.86,179.68
77.14,84.66,71.82,224.89,180.94
76.35,83.30,79.80,198.23,191.21
74.55,84.53,70.99,197.13,179.74
83.87,82.34,78.74,196.36,184.80
79.99,81.93,69.31,195.51,215.01
90.30,86.37,70.04,197.56,197.17
76.98,87.01,73.59,193.26,189.57
86.46,100.08,70.11,197.42,183.81
83.13,84.05,70.38,192.30,183.61
83.20,82.86,70.67,193.41,184.10
89.74,82.41,71.53,205.30,185.07
74.67,83.82,68.66,210.75,179.43
76.97,81.88,82.11,218.98,189.71
82.43,86.36,69.22,208.42,188.12
76.90,86.50,69.87,193.72,187.38
78.92,83.68,74.01,238.20,183.92
78.09,83.02,70.63,214.89,181.19
77.49,84.88,69.56,215.79,178.74
77.95,86.68,68.62,208.73,180.75
76.49,85.02,72.30,190.22,186.62
78.36,83.86,70.39,188.66,181.04
76.77,84.55,70.22,188.22,182.23
78.37,81.98,71.12,194.39,193.11
81.69,97.61,69.59,192.98,186.02
77.10,85.09,70.01,199.27,184.31
78.76,85.95,70.02,189.70,208.91
77.97,88.00,69.15,204.62,193.13
75.49,82.77,71.32,194.80,180.51
78.75,82.48,69.57,209.29,183.44
76.15,82.48,72.72,205.71,185.19
75.86,85.20,68.52,3776.63,197.39
78.84,86.26,69.21,193.90,197.46
76.34,84.94,73.09,194.51,177.68
76.03,83.93,75.73,190.93,191.13
79.68,82.37,71.74,196.23,191.20
78.03,84.90,68.03,205.60,182.27
77.68,81.87,70.21,209.28,186.03
74.92,92.98,69.39,206.12,214.38
97.78,86.11,70.78,195.55,
