p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
21.10,21.90,14.57,80.96,70.15
21.56,21.81,14.66,79.13,68.89
21.38,21.19,15.56,77.40,73.79
21.41,21.99,14.93,78.50,67.87
21.37,21.29,14.64,75.69,73.92
19.98,19.86,14.91,75.96,73.56
21.47,20.86,14.64,74.18,74.24
20.79,21.62,15.03,79.63,74.55
20.32,21.07,14.71,81.32,72.18
19.30,20.07,14.76,79.35,71.91
19.92,22.52,14.81,78.57,72.12
21.35,21.32,14.48,82.01,71.31
22.22,24.16,14.88,74.60,72.64
21.32,23.06,14.34,81.15,73.75
21.11,20.56,14.94,80.53,72.45
21.90,23.71,15.29,81.26,77.82
21.08,24.17,14.34,81.65,83.70
21.51,22.95,14.62,88.96,72.38
21.08,21.82,15.12,86.71,83.35
21.80,25.56,14.70,86.28,74.74
20.99,20.04,15.30,87.44,80.26
20.66,24.09,15.48,83.57,78.97
21.42,21.02,14.69,81.03,77.42
21.98,24.24,14.95,84.02,72.90
20.91,24.35,14.90,81.64,73.02
21.31,24.24,15.16,81.95,79.93
21.89,20.42,14.93,81.11,80.81
21.98,22.43,15.08,83.43,78.41
21.51,25.61,14.67,86.45,80.83
21.27,20.95,14.77,88.68,79.96
21.71,24.35,14.72,89.48,82.32
20.97,25.89,15.37,78.92,81.36
21.73,24.31,14.67,83.30,79.10
19.05,23.12,14.94,96.34,83.23
21.40,20.62,14.09,83.97,78.22
21.41,23.59,14.77,77.69,82.07
21.33,22.71,15.58,89.61,79.50
20.91,22.97,15.11,81.38,80.72
22.55,19.43,14.77,86.20,74.60
20.15,24.23,14.35,88.78,72.28
21.26,24.01,15.85,82.49,82.85
21.88,22.21,14.98,77.06,77.72
22.10,20.62,15.96,82.32,73.67
22.11,24.43,14.51,82.37,75.62
8.25,22.91,14.53,86.72,80.98
7.82,8.80,14.18,85.08,79.60
7.82,9.16,14.52,83.56,73.18
7.75,8.98,15.66,83.75,77.60
7.85,8.82,15.22,78.37,79.24
