x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
58.06,67.07,58.86,105.87,130.29
59.59,61.35,64.55,117.27,123.68
58.02,60.84,59.91,116.01,117.84
59.68,64.86,58.58,115.01,117.11
58.79,62.33,59.89,119.67,121.21
58.75,59.95,59.24,113.42,114.99
59.35,60.66,58.98,115.55,114.35
60.19,60.06,59.16,115.24,117.06
60.63,61.33,59.74,117.64,114.48
58.46,63.44,59.65,114.31,120.18
58.59,60.49,60.37,118.00,121.85
58.37,63.11,58.22,120.62,113.33
58.48,60.91,60.76,115.61,114.41
3642.32,60.37,58.63,123.35,115.96
60.79,61.61,60.33,115.23,114.84
58.14,60.81,59.74,115.47,114.48
59.61,61.49,59.05,119.50,115.74
57.90,64.58,62.35,115.41,114.15
59.59,62.07,61.63,132.66,124.25
59.65,62.00,59.66,115.65,112.60
58.58,62.54,63.72,115.58,118.08
58.14,60.19,58.87,138.95,117.47
58.88,60.11,58.97,115.25,115.06
58.37,64.00,60.96,115.97,118.03
58.26,66.35,60.22,117.91,136.31
58.87,60.41,59.94,117.06,117.42
59.21,60.78,60.72,115.79,114.88
60.10,61.32,58.83,114.87,116.88
58.61,62.92,60.03,121.17,113.22
58.08,62.15,59.81,119.77,114.28
59.13,62.34,60.65,116.35,140.90
58.87,61.40,60.52,118.16,114.79
59.66,62.85,60.86,118.27,120.00
58.38,59.69,60.26,116.12,122.93
59.48,62.10,59.61,117.15,115.42
58.42,59.39,58.88,123.50,114.36
58.17,61.48,58.67,117.90,115.52
58.39,63.92,67.60,116.10,116.69
58.84,61.53,59.57,119.41,120.26
59.87,60.29,3641.60,115.92,115.14
59.04,60.29,61.08,120.04,114.62
58.39,67.10,59.11,118.63,114.02
3638.86,66.68,61.92,117.05,120.87
58.95,61.25,59.40,116.17,114.23
59.28,60.98,59.29,115.47,116.41
62.07,60.83,61.67,119.21,134.64
59.42,62.31,60.54,125.88,114.89
58.42,60.17,62.35,115.80,122.38
61.68,60.94,58.83,118.54,113.26
