p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
37.09,,2499.37,,6312.48
35.96,,5845.21,,4001.12
36.72,,13191.37,,1293.71
41.08,,31.76,,2597.95
36.71,,1921.44,,4406.14
37.31,,7902.22,,8585.23
53.60,,30.45,,134.67
35.32,,31.03,,2426.01
35.73,,29.26,,12367.82
38.13,,30.73,,130.26
34.35,,3230.13,,26283.00
39.23,,6544.03,,138.32
34.71,,8329.36,,129.14
35.75,,2263.67,,131.67
35.81,,29.78,,154.57
43.93,,1285.31,,16000.28
37.50,,4334.89,,2500.69
35.69,,2203.97,,5952.85
35.83,,37.56,,2468.95
36.35,,31.02,,2389.55
36.70,,29.24,,1377.52
36.27,,5870.11,,3306.76
40.94,,30.63,,1547.07
40.43,,2324.12,,135.26
39.03,,1271.36,,161.19
35.18,,1298.72,,8035.16
35.47,,28.13,,317.55
34.57,,1815.82,,4337.36
37.04,,2263.59,,2329.40
36.24,,9730.28,,4962.31
33.64,,9213.23,,5071.61
34.80,,6829.80,,3894.24
35.02,,28.77,,7584.77
39.13,,9695.58,,2325.24
37.29,,4359.95,,137.29
40.08,,1190.26,,10075.54
37.82,,2062.52,,130.71
35.59,,12804.53,,2403.39
37.38,,2442.41,,7115.06
37.82,,4706.15,,2425.14
35.51,,12561.42,,4101.74
48.98,,27.90,,5512.89
47.15,,4332.55,,5285.13
36.64,,2447.56,,3564.07
35.39,,2061.64,,2225.05
37.26,,6575.86,,132.43
37.62,,12300.04,,1073.83
36.40,,,,5963.07
40.54,,,,
