x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
1.31,,4.71,,2136.42
1.54,,1.84,,5.00
1.46,,5.10,,5.70
1.72,,4.42,,4.95
2.70,,5871.70,,8.90
2.31,,1.49,,14.09
2.31,,1.67,,15.44
3.47,,5.61,,1026.11
1.70,,1.86,,4.50
2.29,,4.85,,4.44
1.46,,4.49,,5.12
1.73,,1.69,,11.00
1.40,,1.75,,14.76
2.14,,7.86,,5.32
1.78,,1.82,,4.47
1.66,,1.38,,6.17
2.36,,1.74,,4.56
1.43,,1.75,,4.52
4.81,,5.06,,15.77
1.42,,4.86,,10.27
1.93,,2.11,,6.47
3.00,,2.07,,13.77
2.02,,3.28,,4.53
2.68,,1.95,,5.08
1.69,,6.71,,5.12
1.36,,1.51,,4.86
1.87,,1.61,,5.36
1.85,,1.87,,14.70
1.86,,1.69,,15.14
2.00,,1.94,,4.98
1.78,,8.00,,6.66
1.83,,1.96,,14.82
1.59,,7.32,,17.55
1.85,,1.32,,5.60
1.96,,1.43,,14.02
1.53,,1.61,,6.01
1.78,,6.98,,15.13
2.40,,2040.68,,11.02
2.21,,1.76,,4.73
1.73,,1.44,,9.01
2.01,,5.54,,14.43
1.85,,2.07,,9.32
1.52,,1.77,,4.85
1.33,,3.37,,8.95
2.03,,3.08,,4.35
1.41,,5.58,,9.63
1.44,,4.43,,5.13
1.73,,2.06,,
2.91,,,,
