x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
5902.95,,2232.41,,41.76
2009.05,,4068.95,,39.23
3986.28,,17.34,,39.55
1600.23,,2391.67,,36.62
17.11,,2500.78,,37.29
2088.57,,2213.62,,38.68
18.14,,19467.67,,46.05
4409.92,,2378.44,,37.52
2142.82,,4034.44,,36.84
20.21,,2225.45,,37.00
2665.38,,6859.45,,39.21
12313.07,,8618.55,,40.09
2211.77,,19.37,,35.83
4349.37,,1885.70,,38.53
4463.43,,4527.36,,37.94
8453.70,,2222.97,,43.35
4277.14,,19.04,,35.79
6689.66,,2326.62,,38.71
2213.50,,4081.69,,36.72
21.75,,24.07,,36.65
2370.62,,4747.06,,44.49
1154.16,,6316.55,,44.26
6246.15,,20761.41,,39.26
2203.37,,18.45,,36.75
7247.03,,6549.52,,50.47
2084.08,,24.67,,50.09
17.20,,5768.17,,56.29
24.48,,4327.81,,52.52
22.81,,8516.56,,50.36
6489.95,,2532.11,,41.92
2035.28,,17.68,,56.44
2500.67,,2262.62,,40.46
2242.52,,7880.89,,37.73
2330.09,,21.98,,41.89
4172.96,,4486.26,,36.66
2282.97,,11756.32,,36.87
2258.60,,19889.80,,36.06
19.71,,17.79,,36.94
2185.61,,18.76,,37.58
19.86,,1246.41,,45.99
4356.10,,8478.61,,38.02
9733.34,,4780.53,,46.71
1279.02,,1483.62,,50.35
2390.67,,1086.65,,51.05
19.17,,2421.29,,44.99
18.51,,1092.02,,52.31
,,3540.63,,57.50
,,4497.32,,54.03
,,,,38.83
