p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
8370.08,,16.26,,2340.94
20.47,,14.18,,81.11
6431.73,,14.33,,2624.39
20.19,,13.71,,6455.03
2468.28,,16.05,,1321.96
9021.43,,2134.98,,4753.59
2164.03,,7080.57,,63.74
21.53,,32.06,,2255.37
20.15,,2215.36,,7111.89
42.13,,15.19,,2082.20
2245.02,,3714.17,,4098.49
3504.68,,8650.49,,2093.22
22.23,,14.83,,53.12
2091.74,,13.93,,54.72
2402.78,,2223.99,,5173.01
30.43,,3050.27,,8184.61
2190.00,,15.46,,4478.54
12311.83,,2558.10,,1325.82
6368.63,,2277.31,,7241.30
2330.63,,14.22,,5712.25
20.34,,2084.27,,4562.51
5907.88,,13.87,,82.57
41.58,,2133.63,,7152.71
6517.09,,4548.93,,2190.42
3900.29,,1701.98,,1295.98
1141.38,,5072.26,,6494.41
4934.35,,12272.48,,2305.41
2126.64,,34.41,,55.53
3434.73,,14.39,,66.00
2347.21,,2359.19,,2596.33
2040.74,,5754.14,,2301.51
21.28,,16.70,,5874.20
10513.82,,35.93,,64.84
2125.36,,7513.57,,2139.08
19.86,,2909.00,,7906.24
15498.86,,4404.73,,2467.45
40.98,,2184.52,,81.27
3713.21,,7746.54,,5771.63
10992.37,,2109.66,,8515.23
6731.74,,2125.05,,4543.26
11657.38,,2070.64,,54.58
2190.18,,4430.33,,2192.03
4533.95,,2311.31,,2218.76
31.31,,2477.90,,64.97
2226.45,,6372.47,,6101.73
12648.40,,2130.63,,14441.88
,,2107.69,,2256.22
,,6330.86,,4309.24
,,,,66.53
