iter,ms
1,4.054
2,4.088
3,3.950
4,3.893
5,4.062
6,4.127
7,4.066
8,4.024
9,3.957
10,4.080
11,4.213
12,4.274
13,4.249
14,4.179
15,4.279
16,4.222
17,4.234
18,4.145
19,4.108
20,4.186
21,4.271
22,4.136
23,4.060
24,4.296
25,4.106
26,4.123
27,4.387
28,4.228
29,4.053
30,4.148
31,4.229
32,4.407
33,4.156
34,4.127
35,4.255
36,4.347
37,4.487
38,4.302
39,4.002
40,4.144
41,4.150
42,4.247
43,4.383
44,4.465
45,4.501
46,4.368
47,4.240
48,4.150
49,4.079
50,4.236
51,4.139
