iter,ms
1,3.931
2,4.006
3,4.114
4,4.070
5,4.216
6,4.281
7,4.194
8,4.006
9,4.104
10,4.064
11,4.104
12,3.834
13,3.793
14,4.051
15,3.993
16,4.071
17,4.059
18,4.044
19,4.104
20,4.006
21,4.005
22,4.271
23,4.237
24,4.073
25,4.124
26,4.182
27,4.027
28,4.086
29,3.960
30,4.196
31,4.117
32,8.015
33,3.786
34,3.957
35,4.552
36,3.858
37,3.713
38,3.876
39,4.178
40,4.383
41,4.366
42,4.361
43,4.384
44,4.437
45,4.749
46,4.543
47,4.429
48,4.504
49,4.277
50,4.165
51,4.072
