iter,ms
1,5.587
2,5.480
3,5.277
4,5.411
5,5.319
6,5.218
7,5.473
8,5.405
9,5.534
10,5.310
11,5.214
12,5.190
13,5.442
14,5.610
15,5.496
16,5.411
17,5.550
18,5.439
19,5.312
20,5.243
21,5.585
22,5.124
23,5.235
24,5.382
25,5.155
26,5.290
27,5.401
28,5.458
29,5.374
30,5.052
31,5.140
32,5.120
33,5.452
34,5.210
35,5.345
36,5.414
37,5.292
38,5.226
39,5.370
40,5.414
41,5.307
42,5.354
43,5.413
44,5.464
45,5.478
46,5.263
47,5.390
48,5.388
49,5.623
50,5.693
51,5.254
