sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
ed25519,x25519,2000,2.96,0.47,3.11,2.54,3.33,0.79,1.97,6.24,0.62,0.01,0.62,0.61,0.62,0.01,0.61,0.63,21.26,17.41,30.05
ed25519,x25519_mlkem512,1999,3.10,0.48,2.94,2.73,3.43,0.70,2.47,5.39,0.71,0.01,0.71,0.70,0.71,0.01,0.70,0.72,21.27,15.94,27.52
ed25519,mlkem512,1999,3.36,0.42,3.52,3.21,3.66,0.45,2.26,5.40,0.54,0.01,0.54,0.53,0.54,0.01,0.53,0.55,17.33,11.47,22.20
ed25519,x25519_hqc128,1998,24.99,4.95,23.80,20.23,30.28,10.04,18.84,34.74,11.50,0.09,11.48,11.44,11.56,0.12,11.35,11.79,39.32,33.32,59.44
ed25519,hqc128,1999,27.40,4.72,29.62,23.20,31.14,7.95,18.53,34.06,11.34,0.08,11.32,11.29,11.37,0.08,11.21,11.60,41.73,33.08,59.09
secp384r1,x448,1998,11.73,1.95,12.50,10.14,13.04,2.89,7.57,15.30,4.90,0.03,4.90,4.88,4.93,0.05,4.84,4.97,48.85,34.77,64.87
secp384r1,x448_mlkem768,1999,11.55,2.41,10.58,9.30,14.07,4.77,8.63,16.23,5.36,0.03,5.35,5.33,5.38,0.05,5.29,5.43,41.77,33.11,60.72
secp384r1,mlkem768,2000,11.28,1.56,11.71,11.20,12.29,1.09,7.08,13.52,4.39,0.03,4.39,4.37,4.42,0.05,4.33,4.46,43.88,33.91,60.06
secp384r1,x448_hqc192,1995,66.26,12.45,60.04,58.41,69.69,11.29,56.28,102.90,37.30,0.20,37.30,37.17,37.44,0.27,36.76,37.68,45.77,38.12,64.71
secp384r1,hqc192,1995,63.63,11.22,58.29,56.78,64.71,7.93,54.66,101.83,36.45,0.26,36.41,36.28,36.66,0.38,35.86,37.01,50.04,38.19,65.65
secp521r1,P-521,1999,27.76,5.15,25.32,24.36,29.48,5.12,23.25,43.79,15.72,0.14,15.69,15.62,15.80,0.18,15.52,16.19,49.42,36.75,66.31
secp521r1,p521_mlkem1024,1997,47.78,6.62,50.26,42.44,53.03,10.59,31.97,59.93,17.33,0.15,17.32,17.22,17.43,0.21,17.11,17.81,40.16,30.62,54.29
secp521r1,mlkem1024,1999,21.16,3.31,22.28,20.77,23.49,2.72,13.70,25.34,10.11,0.14,10.09,10.02,10.19,0.17,9.87,10.59,48.42,40.68,69.77
secp521r1,p521_hqc256,1989,165.59,33.69,182.00,126.30,196.40,70.10,118.78,218.86,75.68,0.46,75.58,75.35,75.86,0.51,74.95,76.96,48.12,35.66,62.64
secp521r1,hqc256,1991,137.57,29.37,138.65,106.04,165.89,59.85,100.44,186.55,69.10,0.42,69.11,68.82,69.39,0.58,68.21,70.00,53.70,37.22,68.16
