sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
mldsa44,x25519,2000,2.09,0.31,2.02,1.90,2.21,0.31,1.57,5.10,0.33,0.00,0.33,0.33,0.33,0.00,0.33,0.34,16.08,11.55,19.29
mldsa44,mlkem512,2000,2.04,0.30,1.96,1.86,2.13,0.27,1.65,6.98,0.25,0.00,0.25,0.25,0.25,0.00,0.25,0.26,11.83,7.54,14.08
mldsa44,hqc128,1998,19.12,1.83,18.55,18.22,19.16,0.94,17.73,35.92,11.05,0.08,11.03,11.00,11.08,0.07,10.92,11.31,57.37,42.81,63.51
mldsa65,x448,2000,3.01,0.37,2.92,2.78,3.11,0.33,2.47,6.20,0.92,0.00,0.92,0.92,0.92,0.00,0.91,0.93,29.78,21.27,35.00
mldsa65,mlkem768,2000,2.34,0.31,2.26,2.14,2.44,0.30,1.91,4.48,0.41,0.00,0.41,0.41,0.41,0.00,0.41,0.42,17.63,12.71,20.24
mldsa65,hqc192,1997,52.42,3.16,51.51,50.93,52.56,1.63,50.10,83.44,32.47,0.25,32.42,32.28,32.63,0.35,31.92,33.02,61.75,52.37,65.03
mldsa87,P-521,2000,12.79,1.20,12.43,12.21,12.86,0.65,11.67,24.53,6.20,0.04,6.19,6.18,6.22,0.04,6.13,6.32,48.65,38.38,52.06
mldsa87,mlkem1024,1999,2.55,0.28,2.48,2.38,2.64,0.26,2.15,4.45,0.59,0.00,0.59,0.59,0.60,0.00,0.59,0.60,23.11,16.61,26.33
mldsa87,hqc256,1993,94.28,5.91,92.51,91.78,93.90,2.12,90.74,148.21,59.58,0.39,59.54,59.36,59.88,0.52,58.69,60.31,63.06,40.25,66.11
