Algorithm,Mean(ms),SD(ms),CV(%),Median(ms),IQR(ms),Outliers(%)
SECP384R1,5.360,0.140,2.62,5.378,0.193,0.00
MLDSA87,4.503,0.163,3.63,4.512,0.164,6.00
SECP521R1,7.031,0.152,2.16,7.034,0.207,0.00
MLDSA44,4.220,0.587,13.92,4.104,0.264,4.00
MLDSA65,4.517,0.173,3.83,4.489,0.260,2.00
ED25519,4.191,0.137,3.26,4.168,0.160,0.00
