kem,ed25519,ecdsap384,ecdsap521
X25519,0.465,3.113,7.331
X448,0.888,3.536,7.754
ECP-521,5.725,8.373,12.591
mlkem512,0.425,3.073,7.291
x25519_mlkem512,0.558,3.206,7.424
mlkem768,0.47,3.118,7.336
x448_mlkem768,1.204,3.852,8.07
mlkem1024,0.523,3.171,7.389
p521_mlkem1024,6.64,9.288,13.506
hqc128,6.109,8.757,12.975
x25519_hqc128,6.183,8.831,13.049
hqc192,17.313,19.961,24.179
x448_hqc192,17.398,20.046,24.264
hqc256,29.98,32.628,36.846
p521_hqc256,35.854,38.502,42.72
