x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
2.61,2.87,7.17,11.89,12.15
2.62,2.98,8.69,11.84,29.23
7.98,2.85,2.77,21.05,13.04
5555.15,2.80,3410.64,12.88,11.89
2.50,2.70,9.25,30.67,20.60
2411.42,2381.55,8.15,13.31,11.65
8.98,3.03,7.87,12.23,11.81
2.48,19.49,2.44,2371.47,45.19
7.99,2.99,2.51,5932.04,30.07
2.81,6160.17,3.78,13.06,12.57
7.59,3.43,2.69,12.55,12.85
7.50,8.96,2.30,28.27,29.55
2.55,3.66,2.46,12.86,21.25
8.07,2.85,2.67,32.26,29.98
3.48,3.64,2.59,12.62,32.02
2.63,4.37,2.79,12.30,30.30
7.89,8.74,2.42,11.83,11.96
7.85,3.03,2.45,46.79,12.64
2.66,2.93,7.43,21.56,11.76
2.63,8.55,20.27,12.15,12.31
2214.08,3.00,2.44,12.38,11.68
2.52,8.61,3.62,11.78,30.21
7.96,8.29,2.51,31.03,11.69
2.46,2.66,7.54,12.16,11.88
6660.23,2.79,7.44,12.23,11.86
8.61,3.02,7.99,21.46,11.35
8.30,3.77,2.44,30.69,2280.23
2.49,7.66,2.54,2441.05,32.08
2.69,5.19,2.69,29.58,29.41
6724.51,8.84,2068.70,12.82,11.71
2029.45,2.86,7.41,29.89,11.96
13566.48,8.17,2.86,21.91,31.02
8.13,2.76,2473.69,12.09,11.99
2.46,2.82,20.03,12.17,2291.67
6303.37,8.77,1218.20,31.28,11.56
2.56,2.79,7.39,12.09,12.54
2.61,2.69,3499.95,12.03,30.82
2.49,3.94,2.63,24.68,11.64
2.54,7.89,3.12,,12.41
2.43,8.57,2.41,,1183.67
3.01,2.75,2.57,,20.64
2.61,2.91,2466.84,,2196.83
8.10,1210.18,2.71,,
2.50,2080.49,8.51,,
8.32,2.81,6.84,,
6.81,8.99,7.84,,
2.49,8.33,2.29,,
2432.66,,7.62,,
,,2.89,,
