iter,ms
1,11.540
2,10.894
3,10.811
4,10.285
5,10.959
6,10.427
7,10.197
8,10.910
9,10.421
10,11.054
11,10.754
12,11.140
13,10.761
14,10.881
15,11.070
16,10.399
17,10.639
18,10.885
19,10.614
20,10.620
21,10.568
22,10.289
23,10.188
24,10.245
25,10.243
26,10.361
27,11.547
28,10.600
29,10.320
30,10.116
31,10.344
32,10.312
33,10.991
34,12.923
35,10.828
36,10.364
37,11.045
38,10.931
39,10.859
40,11.121
41,16.006
42,12.068
43,12.831
44,10.865
45,11.057
46,10.835
47,11.129
48,10.519
49,10.772
50,10.901
51,11.603
