iter,ms
1,11.679
2,10.304
3,10.237
4,10.115
5,10.181
6,10.788
7,10.686
8,10.641
9,10.335
10,10.635
11,10.572
12,10.151
13,10.292
14,10.537
15,10.511
16,10.770
17,10.520
18,10.964
19,10.419
20,10.635
21,10.285
22,10.423
23,11.564
24,10.282
25,10.148
26,10.234
27,14.181
28,11.143
29,10.350
30,10.582
31,10.809
32,11.790
33,11.136
34,10.205
35,10.655
36,10.302
37,10.245
38,11.429
39,10.798
40,10.703
41,10.515
42,10.785
43,10.941
44,10.818
45,10.633
46,12.766
47,11.467
48,11.748
49,12.156
50,10.892
51,10.948
