iter,ms
1,10.739
2,11.469
3,10.566
4,10.340
5,10.468
6,10.292
7,10.513
8,10.540
9,10.302
10,11.201
11,10.040
12,11.498
13,11.373
14,10.452
15,10.968
16,11.157
17,10.067
18,10.645
19,11.402
20,10.430
21,10.386
22,10.377
23,11.447
24,10.351
25,10.188
26,10.392
27,10.873
28,10.434
29,13.242
30,10.642
31,10.546
32,10.078
33,10.470
34,10.439
35,10.466
36,10.833
37,10.800
38,13.534
39,10.169
40,11.798
41,10.252
42,10.156
43,10.721
44,10.631
45,11.171
46,10.593
47,10.622
48,10.550
49,10.370
50,10.421
51,10.407
