iter,ms
1,12.722
2,13.067
3,13.600
4,12.756
5,12.644
6,12.783
7,12.651
8,12.891
9,13.366
10,13.149
11,13.286
12,18.379
13,13.412
14,13.998
15,13.040
16,12.979
17,12.725
18,12.734
19,12.521
20,12.702
21,13.370
22,13.301
23,13.248
24,13.183
25,12.757
26,12.756
27,12.638
28,12.855
29,12.564
30,12.565
31,12.485
32,12.633
33,12.550
34,12.738
35,12.683
36,12.849
37,12.655
38,12.734
39,13.938
40,12.522
41,12.715
42,12.848
43,13.598
44,12.606
45,12.618
46,12.398
47,12.554
48,13.087
49,13.314
50,13.395
51,12.482
