P-521,mlkem1024,hqc256
12.67,2.9,103.72
12.67,2.37,92.76
13.11,2.54,109.28
12.87,2.73,94.01
12.24,2.61,92.4
12.33,2.69,91.96
12.31,2.79,148.21
12.83,2.74,91.88
12.67,2.7,91.67
12.69,2.73,92.84
12.56,3.08,91.41
13.12,2.69,91.69
13.06,2.83,91.45
11.92,2.55,91.49
12.16,2.41,92.93
12.97,2.35,93.26
12.16,2.56,92.89
12.24,3.57,97.89
12.19,2.57,92.37
13.58,2.38,93.43
12.76,2.45,128.11
12.41,2.47,92.14
12.62,2.65,92.11
12.26,2.4,93.64
12.62,2.45,91.69
12.49,2.54,93.73
16.19,2.3,91.25
15.87,2.33,100.31
13.52,2.44,92.13
12.8,2.53,91.88
12.74,2.73,91.48
13.12,2.66,92.36
12.84,2.37,91.54
12.65,2.61,91.18
12.81,2.28,91.85
12.43,3.1,91.12
12.32,2.56,94.56
13.79,2.57,91.71
13.11,2.39,98.56
13.46,2.26,91.22
12.88,2.35,93.89
12.14,2.49,95.06
12.32,2.5,92.57
12.1,2.65,91.92
12.4,2.45,93.64
12.56,2.63,92.89
12.92,2.88,92.5
12.04,2.67,92.75
12.33,2.5,91.5
12.31,2.43,92.05
12.58,2.39,91.52
12.33,2.44,92.67
13.54,2.32,91.86
12.46,2.23,116.29
12.36,2.92,91.77
12.81,2.74,92.18
12.89,2.52,93.66
12.37,2.61,101.65
12.23,2.76,94.58
12.67,2.44,91.87
12.26,2.39,92.61
12.6,2.81,91.59
12.1,2.67,93.23
12.31,2.55,94.22
11.99,2.73,94.64
12.85,2.73,91.9
12.31,2.71,92.64
11.9,2.93,93.03
12.04,2.57,105.19
12.26,2.83,91.85
12.31,2.52,109.81
13.98,3.46,92.82
12.26,2.85,97.23
12.44,2.43,91.09
12.41,2.56,91.56
13.25,2.48,91.84
12.24,2.65,91.02
16.49,2.46,91.76
12.32,2.41,91.8
14.69,2.53,91.58
13.8,2.46,107.73
12.5,2.48,94.47
12.03,2.47,91.18
12.36,2.37,95.76
12.37,2.42,92.5
12.16,2.45,91.93
12.28,2.44,91.81
12.91,3.05,93.1
12.18,2.34,91.92
12.39,2.52,91.68
12.13,2.52,91.49
12.2,2.56,93.48
14.04,2.44,95.63
18.31,3.34,92.31
15.86,2.57,93.18
13.38,2.79,92.45
12.27,2.63,91.44
12.43,2.5,92.18
12.47,2.36,91.68
14.36,2.71,91.51
12.23,2.75,91.79
12.06,2.6,91.91
12.29,2.73,92.1
12.62,2.47,95.81
12.47,2.65,93.72
16.28,2.44,93.93
14.19,2.65,93.89
12.29,2.52,92.17
12.17,3.19,91.43
12.03,2.52,92.29
12.11,2.43,92.34
12.24,2.81,92.77
12.02,2.63,91.6
13.03,2.68,98.15
15.52,2.89,91.32
13.62,2.71,91.65
12.91,2.49,91.22
12.3,2.42,91.12
12.46,2.59,91.79
12.34,2.57,107.85
12.57,2.61,93.28
13.27,2.71,92.93
15.54,2.37,91.53
13.1,2.41,95.76
12.62,2.44,91.36
12.53,2.34,92.77
12.72,2.46,91.64
12.29,2.38,92.72
12.15,2.64,103.87
13.12,2.6,123.35
12.45,2.25,94.0
12.49,2.44,92.78
13.01,2.69,93.71
12.43,3.38,92.72
12.65,2.49,96.68
12.46,2.5,97.1
12.34,2.76,93.78
12.11,2.45,91.91
12.63,2.5,95.74
13.13,2.52,106.65
12.27,2.72,107.47
12.29,2.52,107.86
12.3,2.42,91.91
12.34,2.63,93.44
12.17,2.48,94.31
12.25,2.88,91.82
13.97,2.46,101.19
16.83,2.69,98.84
13.56,2.62,91.7
13.79,2.49,95.11
13.33,2.4,91.09
13.6,2.49,92.51
17.6,2.43,92.3
11.99,2.43,92.3
11.98,2.34,3690.57
12.18,2.46,100.08
11.93,2.55,94.8
12.14,2.29,115.05
11.92,2.25,93.18
12.09,2.49,91.92
11.98,2.27,95.13
11.79,2.45,92.18
12.03,2.43,92.87
12.41,2.64,111.54
11.97,2.38,93.91
13.1,2.53,107.69
12.43,2.67,111.96
12.33,2.81,93.29
12.63,2.7,91.65
12.25,3.14,92.8
12.02,2.53,92.14
12.19,2.62,92.17
12.26,2.75,91.95
12.04,2.92,93.09
12.11,2.4,91.67
12.18,2.49,91.66
12.07,2.46,91.8
11.87,2.41,91.47
12.41,2.4,91.49
13.58,2.47,92.22
12.52,2.27,93.01
12.74,2.44,92.72
12.18,2.36,92.57
12.29,2.45,92.0
16.92,2.46,90.74
12.06,2.34,91.49
12.17,2.24,94.41
11.87,2.42,93.12
12.29,2.46,91.63
12.14,2.25,90.97
12.17,2.34,90.98
12.74,2.34,91.5
11.86,2.55,91.67
11.92,2.48,91.52
11.82,2.38,91.25
12.51,2.67,91.41
12.35,3.14,93.94
12.89,3.12,91.92
12.12,3.06,92.44
12.42,2.98,92.06
12.13,2.92,91.87
12.22,2.6,93.11
12.5,2.58,92.62
12.48,2.79,93.04
12.6,2.63,93.01
12.1,2.32,94.0
12.57,2.43,92.52
12.36,2.26,92.48
12.62,2.28,91.32
12.39,2.37,91.81
12.14,2.32,94.02
13.15,2.37,91.41
12.76,2.18,92.1
12.34,2.54,92.32
12.58,2.46,92.37
12.91,2.42,94.6
13.46,2.53,94.43
12.87,2.54,92.27
12.37,2.53,95.11
12.8,3.19,93.36
12.56,3.05,92.31
12.35,3.04,121.57
12.44,3.09,122.9
12.48,3.43,92.35
12.4,3.22,93.53
13.25,2.44,91.75
12.53,2.35,93.05
12.27,2.32,98.82
12.36,2.28,93.48
12.21,2.24,93.29
12.59,2.48,94.29
12.64,2.48,93.3
12.47,3.76,92.58
12.2,3.49,100.41
13.78,2.6,94.94
12.85,2.37,91.66
12.44,2.5,94.14
12.39,2.44,95.99
13.04,2.38,91.52
12.41,2.29,92.38
13.99,2.85,94.16
19.32,2.83,93.36
14.35,2.32,94.29
13.49,2.67,99.24
12.51,2.19,93.07
12.71,2.45,92.01
12.43,2.39,96.38
12.05,2.48,94.68
12.47,2.38,93.06
13.27,2.27,92.45
12.22,2.46,92.05
12.61,2.4,93.78
12.51,2.4,92.33
12.45,2.64,92.12
12.73,2.4,92.01
12.34,2.52,117.24
12.58,2.35,94.28
12.3,2.67,91.91
12.55,2.39,91.53
12.28,2.3,93.24
12.45,2.35,93.33
12.72,2.29,91.23
12.29,2.29,91.98
12.12,2.65,94.53
12.41,2.45,92.12
12.36,2.25,94.3
12.21,2.35,134.92
12.49,2.29,91.94
12.09,2.45,93.43
12.34,2.36,96.47
11.95,2.87,126.48
11.86,2.44,92.67
12.17,2.97,92.14
11.87,2.42,92.52
12.23,2.41,91.57
11.91,2.29,91.43
12.18,2.31,91.34
11.94,2.4,91.63
14.65,2.51,91.42
12.29,2.3,91.77
12.32,2.37,91.53
12.23,2.15,92.64
12.1,2.32,92.72
13.22,2.66,91.3
13.03,2.54,91.08
12.47,2.41,91.77
13.19,2.97,91.85
13.7,3.65,117.99
13.33,3.46,93.74
20.32,3.57,91.7
13.55,3.46,92.68
12.92,3.52,92.37
11.98,2.89,99.76
12.35,2.77,97.19
12.87,2.64,93.32
12.21,2.83,91.49
13.07,2.65,92.29
12.36,2.83,91.69
12.54,2.6,90.89
12.39,2.34,92.29
12.45,2.65,90.8
12.55,2.48,92.89
13.32,2.53,93.44
15.76,2.44,91.56
13.25,2.5,91.98
12.79,2.72,93.14
12.58,2.46,93.18
12.11,2.45,92.91
12.32,2.43,94.94
12.93,2.68,91.68
12.7,2.38,93.83
13.87,2.44,92.53
13.77,2.48,93.17
13.27,2.55,91.39
13.39,2.63,92.53
13.05,2.67,92.33
13.28,2.65,91.68
12.62,2.51,91.1
12.88,2.53,91.93
12.74,2.97,92.83
12.54,3.92,92.11
12.94,2.77,91.34
12.47,2.7,91.24
13.15,2.49,91.95
17.42,2.46,92.03
12.38,2.6,92.75
12.39,2.67,93.73
12.31,2.44,93.29
12.41,2.46,92.69
13.7,2.51,92.29
12.11,2.65,91.96
12.56,2.45,92.79
12.42,2.32,92.31
12.45,2.52,94.04
12.51,3.16,93.39
13.04,3.85,101.76
12.55,3.36,93.31
15.8,3.08,92.8
15.64,3.16,92.3
12.16,3.11,92.39
12.5,3.02,92.84
12.7,2.91,93.17
12.16,2.64,99.04
12.17,2.87,92.14
12.81,2.45,93.12
12.24,2.44,92.97
12.2,2.29,92.41
12.41,2.3,90.86
12.52,2.29,98.67
12.22,2.6,94.42
12.47,2.26,92.63
12.69,2.27,92.67
12.52,2.46,92.47
12.09,2.66,94.25
12.11,2.31,93.35
12.37,2.28,91.75
17.6,2.33,91.88
17.82,2.54,93.66
13.08,2.32,92.88
14.31,2.5,91.78
14.87,2.51,94.23
17.32,2.63,92.14
12.13,2.41,94.26
12.61,2.67,92.7
12.51,2.75,92.3
12.43,2.56,93.84
12.3,2.6,95.06
12.29,2.55,93.03
12.24,2.46,93.36
12.16,2.3,92.43
12.35,2.28,92.83
12.2,2.32,100.35
12.12,2.44,93.93
12.24,2.54,92.08
12.39,2.29,92.43
12.58,2.31,93.02
12.36,2.27,92.6
12.15,2.41,94.14
12.2,2.52,135.78
12.36,2.43,98.34
12.04,2.31,92.59
12.43,2.3,92.81
12.31,2.71,92.2
12.4,2.46,96.38
12.37,2.39,91.84
13.33,2.31,91.54
12.16,2.43,92.57
12.94,2.69,91.98
12.11,2.5,112.53
12.26,2.92,93.08
11.92,2.78,92.37
11.98,2.74,93.44
12.24,3.14,92.19
12.24,2.63,100.08
12.1,2.72,93.74
12.32,3.85,91.11
12.08,2.46,90.96
12.27,2.85,92.89
14.33,3.39,92.27
16.24,3.35,93.63
16.31,2.89,93.7
12.34,2.94,92.28
12.25,3.13,97.43
12.21,2.9,98.13
12.37,3.16,92.14
11.87,3.41,93.08
11.97,3.51,92.04
12.07,3.19,91.48
12.22,2.7,92.3
12.36,2.87,93.26
12.14,2.92,91.73
12.01,3.85,92.78
12.56,2.44,94.54
12.46,2.51,93.15
12.94,2.62,91.61
12.44,2.54,92.62
12.13,2.86,141.05
12.41,2.54,114.89
12.27,2.42,92.02
12.57,2.51,91.85
15.08,2.33,92.12
12.93,2.42,94.13
12.45,2.42,113.36
12.68,2.38,93.99
12.35,2.57,94.44
12.71,2.54,96.98
12.39,2.66,93.21
12.56,2.49,93.91
12.19,3.05,103.27
12.2,2.66,104.06
12.07,3.12,99.14
12.62,2.5,92.42
12.76,2.64,100.88
12.63,2.42,92.7
13.64,2.26,93.92
13.15,2.45,95.54
16.79,2.78,91.87
13.15,2.63,93.31
12.58,3.43,94.72
13.37,2.7,92.73
13.14,2.51,92.21
12.56,2.68,91.98
12.58,2.71,94.61
14.13,2.85,99.67
12.53,2.67,95.07
12.76,2.55,93.89
12.58,2.58,103.3
22.16,2.73,94.26
12.29,2.53,95.51
15.86,2.78,96.71
12.32,2.52,92.26
12.99,2.52,98.07
13.52,2.75,92.62
13.26,2.62,109.86
12.42,2.76,92.86
12.64,2.71,3656.66
12.47,3.03,92.24
13.27,2.7,92.07
12.46,2.56,92.53
12.91,2.41,91.8
12.31,2.44,91.69
13.97,2.99,92.68
12.7,2.63,94.54
12.42,2.57,92.32
12.53,2.48,114.85
12.36,2.59,93.34
17.77,2.45,93.17
12.49,2.61,92.64
12.93,2.44,110.1
12.54,2.54,93.24
12.33,2.55,91.08
13.04,2.81,92.35
12.23,2.44,91.77
12.29,2.48,91.3
12.35,2.39,93.77
12.48,2.93,92.76
13.07,2.5,92.3
12.98,2.47,103.07
21.47,3.3,91.14
12.42,2.38,91.63
15.85,2.36,91.32
12.97,2.39,92.29
12.84,2.64,92.03
13.07,2.74,91.67
12.25,2.71,91.72
12.99,2.64,91.42
12.26,2.61,92.99
12.67,2.75,92.23
12.91,2.5,93.56
13.19,2.57,93.53
