sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_handshake_ms,sd_handshake_ms,median_handshake_ms,q1_handshake_ms,q3_handshake_ms,iqr_handshake_ms,min_handshake_ms,max_handshake_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
mldsa44,x25519,100,"6,02","0,21","6,00","5,86","6,13","0,27","5,67","6,68","6,19","0,25","6,17","6,03","6,30","0,27","5,81","7,40","2,49","0,18","2,46","2,35","2,59","0,24","2,17","3,04","41,30","37,16","46,08"
mldsa44,mlkem512,100,"6,50","0,28","6,46","6,31","6,62","0,32","6,04","8,10","6,65","0,28","6,62","6,46","6,77","0,31","6,19","8,25","3,00","0,23","3,00","2,85","3,11","0,26","2,62","4,35","46,18","43,08","53,70"
mldsa44,hqc128,100,"12,96","0,31","12,95","12,75","13,13","0,38","12,46","14,36","13,11","0,32","13,09","12,90","13,28","0,38","12,58","14,55","6,93","0,25","6,90","6,76","7,10","0,34","6,52","7,91","53,45","51,58","55,64"
mldsa65,x448,100,"6,90","0,38","6,83","6,65","7,06","0,41","6,35","8,14","7,05","0,38","6,97","6,79","7,19","0,40","6,49","8,42","3,10","0,30","3,04","2,88","3,25","0,37","2,69","4,07","44,76","39,56","51,01"
mldsa65,mlkem768,100,"6,94","0,37","6,84","6,71","7,12","0,41","6,31","8,90","7,09","0,38","6,99","6,85","7,27","0,42","6,46","9,10","3,37","0,30","3,29","3,16","3,51","0,35","2,84","4,86","48,46","40,50","54,61"
mldsa65,hqc192,100,"26,30","1,17","25,91","25,64","26,36","0,72","25,28","30,81","26,45","1,19","26,06","25,79","26,50","0,71","25,41","31,07","14,60","0,69","14,39","14,21","14,64","0,44","13,85","17,41","55,51","52,97","57,85"
mldsa87,P-521,100,"12,45","0,46","12,32","12,17","12,67","0,50","11,55","15,13","12,59","0,46","12,45","12,32","12,80","0,48","11,69","15,27","6,05","0,38","5,97","5,81","6,23","0,42","5,45","8,49","48,57","46,13","56,11"
mldsa87,mlkem1024,100,"7,59","0,32","7,52","7,38","7,70","0,33","7,08","8,76","7,73","0,32","7,67","7,51","7,84","0,33","7,20","8,89","3,69","0,31","3,62","3,50","3,82","0,32","3,19","4,81","48,62","42,12","56,19"
mldsa87,hqc256,100,"42,22","0,46","42,16","41,92","42,45","0,53","41,18","43,30","42,37","0,47","42,32","42,09","42,61","0,52","41,30","43,46","24,15","0,39","24,09","23,92","24,36","0,44","23,39","25,23","57,20","56,27","58,31"
